#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
165,Dropil,DROP,"$99,336,837",$0.005293,"18,766,983,982","$57,705",-0.52%,-13.49%,-15.01%
166,TomoChain,TOMO,"$98,958,200",$1.80,"55,000,000","$405,556",0.31%,-1.83%,-2.22%
167,Dynamic Tradi...,DTR,"$96,469,222",$0.080254,"1,202,053,264","$9,633",0.36%,-3.34%,-11.99%
168,BridgeCoin,BCO,"$96,200,190",$3.56,"27,000,000","$56,872",-1.35%,-5.52%,20.51%
169,SophiaTX,SPHTX,"$95,425,375",$0.497080,"191,971,867","$656,323",0.47%,-4.13%,-9.18%
170,SmartCash,SMART,"$94,892,462",$0.100969,"939,817,786","$269,314",0.99%,-14.27%,-26.14%
171,Red Pulse,RPX,"$94,790,528",$0.117619,"805,911,699","$3,618,780",1.01%,-9.01%,-23.61%
172,SONM,SNM,"$94,023,533",$0.261467,"359,600,000","$1,645,860",-1.21%,-4.67%,5.67%
173,Credits,CS,"$93,559,683",$0.679662,"137,656,193","$5,263,910",0.11%,-5.26%,0.52%
174,DEW,DEW,"$92,374,553",$0.894716,"103,244,553","$238,894",1.89%,-4.11%,-5.80%
175,Zebi,ZCO,"$91,334,581",$0.198180,"460,866,790","$2,285,390",-1.23%,-10.43%,?
176,Asch,XAS,"$91,185,566",$0.976758,"93,355,331","$3,022,930",-0.39%,-6.67%,0.19%
177,DATA,DTA,"$91,037,534",$0.019677,"4,626,502,186","$21,190,500",1.28%,-11.95%,-7.36%
178,MediBloc,MED,"$90,358,433",$0.030461,"2,966,384,100","$1,370,950",0.33%,-10.01%,-10.81%
179,Ubiq,UBQ,"$90,305,593",$2.22,"40,710,470","$290,843",0.25%,-4.84%,0.29%
180,Groestlcoin,GRS,"$90,089,049",$1.29,"69,986,754","$8,749,010",0.75%,-8.86%,-8.35%
181,IHT Real Esta...,IHT,"$89,351,520",$0.181326,"492,767,282","$11,324,400",0.86%,-10.11%,-1.43%
182,Blocknet,BLOCK,"$86,374,146",$16.84,"5,130,507","$161,298",1.20%,-2.85%,-18.57%
183,ETHLend,LEND,"$85,844,909",$0.079022,"1,086,339,146","$2,551,470",0.81%,-8.29%,-3.02%
184,Peercoin,PPC,"$85,640,139",$3.46,"24,751,271","$1,649,590",2.16%,6.71%,35.28%
185,THEKEY,TKY,"$83,435,179",$0.018521,"4,504,993,287","$967,081",-0.33%,-6.97%,-8.09%
186,PayPie,PPP,"$82,427,483",$0.999121,"82,500,000","$471,071",2.54%,-12.86%,-27.97%
187,Ink,INK,"$82,223,038",$0.177239,"463,910,527","$10,047,600",0.58%,-3.53%,5.78%
188,NavCoin,NAV,"$81,678,001",$1.30,"62,804,593","$711,370",1.78%,-2.97%,-8.38%
189,Genesis Vision,GVT,"$81,672,403",$21.91,"3,726,781","$9,423,720",0.34%,-5.36%,-5.77%
190,Cube,AUTO,"$81,517,746",$0.012991,"6,274,940,000","$677,009",1.24%,-6.16%,-21.91%
191,Bibox Token,BIX,"$78,206,974",$0.749522,"104,342,466","$46,009,000",0.16%,-5.66%,3.27%
192,Pillar,PLR,"$77,927,500",$0.342712,"227,384,800","$322,788",3.42%,-16.42%,-12.35%
193,ZClassic,ZCL,"$77,892,403",$19.97,"3,901,350","$3,935,520",1.90%,0.00%,-22.35%
194,BLOCKv,VEE,"$76,651,331",$0.050052,"1,531,433,921","$1,935,240",-0.28%,0.18%,-10.19%
195,CRYPTO20,C20,"$75,584,549",$1.91,"39,667,142","$1,473,190",0.33%,-4.37%,0.50%
196,IoT Chain,ITC,"$75,201,148",$1.55,"48,603,729","$7,062,330",1.26%,-9.17%,0.12%
197,OST,OST,"$75,192,149",$0.233688,"321,762,988","$1,869,220",1.95%,-3.76%,-11.02%
198,CloakCoin,CLOAK,"$74,581,873",$14.53,"5,131,227","$21,075,000",1.77%,7.99%,-3.88%
199,Ripio Credit ...,RCN,"$71,607,614",$0.145757,"491,280,791","$8,677,580",0.30%,-9.18%,-5.95%
200,Eidoo,EDO,"$69,382,729",$2.37,"29,261,461","$8,158,610",-0.38%,-7.56%,-12.22%
201,Bread,BRD,"$68,928,055",$0.775669,"88,862,718","$1,105,420",-0.10%,-10.10%,-3.37%
202,Streamr DATAcoin,DATA,"$68,842,914",$0.101665,"677,154,514","$804,161",0.25%,-8.81%,2.81%
203,AdEx,ADX,"$68,638,981",$0.934745,"73,430,701","$4,345,930",0.53%,-5.83%,-11.42%
204,Primecoin,XPM,"$68,325,050",$2.90,"23,542,178","$1,971,630",-0.24%,-7.60%,20.90%
205,Einsteinium,EMC2,"$67,049,793",$0.309127,"216,900,474","$3,694,450",0.38%,-4.53%,-6.37%
206,UTRUST,UTK,"$66,657,690",$0.227864,"292,532,783","$3,909,380",-1.40%,17.96%,19.37%
207,Quantum Resis...,QRL,"$66,507,480",$1.28,"52,000,000","$346,562",0.19%,-5.03%,-0.86%
208,AirSwap,AST,"$65,990,100",$0.439934,"150,000,000","$3,784,710",0.43%,-10.17%,-22.19%
209,SingularDTV,SNGLS,"$65,921,400",$0.109869,"600,000,000","$1,289,140",0.27%,-8.20%,-11.06%
210,BitBay,BAY,"$64,702,907",$0.063939,"1,011,952,186","$582,540",0.61%,-4.62%,-12.75%
