#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
245,Pura,PURA,"$48,658,429",$0.280238,"173,632,515","$2,029,720",1.53%,-0.83%,-3.84%
246,QLINK,QLC,"$47,703,360",$0.198764,"240,000,000","$7,976,040",0.74%,-2.96%,-15.85%
247,Trinity Netwo...,TNC,"$47,509,667",$0.142529,"333,333,333","$910,393",0.99%,-5.97%,9.25%
248,Ravencoin,RVN,"$47,340,257",$0.047223,"1,002,485,179","$451,135",0.16%,0.13%,51.35%
249,Datum,DAT,"$46,956,766",$0.053311,"880,811,506","$862,964",0.39%,3.04%,18.42%
250,Dock,DOCK,"$46,284,781",$0.203572,"227,363,197","$11,464,300",1.50%,2.06%,63.48%
251,Jibrel Network,JNT,"$46,082,550",$0.307217,"150,000,000","$1,120,050",-1.39%,-10.51%,-21.23%
252,MinexCoin,MNX,"$45,938,064",$12.34,"3,722,575","$74,825",3.84%,-2.91%,-20.84%
253,Counterparty,XCP,"$45,602,927",$17.43,"2,616,452","$226,041",-1.53%,-7.66%,-9.23%
254,DATx,DATX,"$44,884,809",$0.034747,"1,291,745,816","$7,577",0.88%,-2.28%,-0.20%
255,NAGA,NGC,"$43,975,907",$0.762513,"57,672,338","$1,071,110",0.21%,-4.71%,10.23%
256,QunQun,QUN,"$43,961,980",$0.054658,"804,304,194","$3,011,820",-1.25%,-12.87%,13.56%
257,Triggers,TRIG,"$43,874,198",$1.37,"32,105,578","$7,192,960",0.24%,-3.15%,-20.97%
258,DECENT,DCT,"$43,731,771",$0.852370,"51,306,089","$1,432,670",-0.79%,-2.22%,4.02%
259,Feathercoin,FTC,"$43,695,308",$0.218606,"199,881,560","$178,788",0.39%,-5.23%,-8.73%
260,Sentinel,SENT,"$43,234,880",$0.022755,"1,899,999,999","$618,044",0.89%,-6.64%,20.65%
261,MobileGo,MGO,"$43,210,247",$0.440791,"98,028,877","$1,280,250",2.13%,-9.89%,17.64%
262,Melon,MLN,"$43,149,427",$71.99,"599,400","$372,157",0.25%,-5.75%,2.50%
263,TokenCard,TKN,"$43,145,850",$1.78,"24,226,040","$185,433",0.13%,-9.74%,-11.53%
264,Soarcoin,SOAR,"$42,467,611",$0.039276,"1,081,269,353","$76,609",1.59%,-3.66%,3.64%
265,Etherparty,FUEL,"$42,419,473",$0.097355,"435,720,853","$1,974,380",-0.65%,-8.28%,-7.34%
266,Republic Prot...,REN,"$41,970,645",$0.089884,"466,943,377","$1,724,530",1.39%,-9.83%,0.32%
267,Lamden,TAU,"$41,531,686",$0.292033,"142,215,728","$468,260",1.12%,-1.57%,41.82%
268,STK,STK,"$41,461,799",$0.121292,"341,834,575","$15,643,800",0.38%,14.98%,21.85%
269,Medicalchain,MTN,"$41,322,340",$0.223364,"185,000,000","$11,044,100",2.03%,-0.78%,47.04%
270,Blox,CDT,"$41,303,622",$0.062865,"657,023,039","$2,245,190",0.59%,-9.50%,-1.51%
271,CPChain,CPC,"$41,197,126",$0.145180,"283,765,852","$3,450,060",-8.16%,-15.98%,-6.85%
272,Proxeus,XES,"$41,170,754",$0.207681,"198,240,350","$329,513",1.44%,-0.94%,?
273,bitCNY,BITCNY,"$41,026,813",$0.153915,"266,555,000","$29,864,400",0.17%,-1.69%,-3.75%
274,Gulden,NLG,"$40,777,291",$0.102726,"396,952,000","$97,107",0.92%,-3.32%,-9.08%
275,Refereum,RFR,"$40,647,965",$0.017269,"2,353,865,677","$1,320,690",-0.13%,-2.99%,36.49%
276,Metaverse ETP,ETP,"$40,586,273",$1.14,"35,551,785","$5,485,820",0.71%,-2.38%,-2.49%
277,YOYOW,YOYOW,"$40,471,674",$0.153684,"263,343,444","$2,398,470",-1.28%,-10.22%,7.85%
278,Bloom,BLT,"$40,420,502",$0.847838,"47,674,794","$273,547",0.84%,2.73%,61.45%
279,Steem Dollars,SBD,"$40,237,384",$3.07,"13,111,722","$2,943,300",-0.07%,-5.65%,-9.60%
280,Wagerr,WGR,"$40,167,951",$0.219497,"183,000,000","$46,594",-5.03%,-11.42%,-12.79%
281,Presearch,PRE,"$40,041,460",$0.258332,"155,000,000","$69,865",0.64%,-3.13%,-2.75%
282,Envion,EVN,"$39,715,468",$0.364928,"108,830,970","$127,912",-1.86%,0.19%,-14.19%
283,BlockMason Cr...,BCPT,"$39,032,732",$0.539426,"72,359,752","$4,318,200",0.05%,-8.26%,-16.58%
284,Experience Po...,XP,"$38,903,722",$0.000171,"227,009,321,382","$124,728",0.55%,-6.65%,-9.04%
285,TokenClub,TCT,"$38,827,916",$0.080652,"481,425,335","$2,269,430",2.33%,1.89%,56.49%
286,Tokenomy,TEN,"$38,542,735",$0.309314,"124,607,148","$5,082,710",-0.71%,0.04%,5.14%
287,KickCoin,KICK,"$38,533,247",$0.082757,"465,617,498","$728,493",0.42%,-7.01%,-4.08%
288,EDUCare,EKT,"$38,433,500",$0.109810,"350,000,000","$11,542,400",1.22%,-7.82%,45.35%
289,CasinoCoin,CSC,"$38,360,619",$0.001066,"35,973,085,511","$4,612",0.32%,12.67%,1.93%
290,CyberVein,CVT,"$36,754,139",$0.046770,"785,845,244","$1,272,910",1.13%,-6.18%,-6.18%
291,Universa,UTNP,"$36,672,863",$0.020568,"1,782,971,092","$1,095,060",-2.25%,-3.59%,-13.88%
292,Sentinel Chain,SENC,"$36,380,429",$0.184733,"196,935,196","$2,489,180",0.53%,-7.14%,3.07%
293,Stox,STX,"$36,328,661",$0.842725,"43,108,560","$9,347,100",-1.26%,7.99%,117.85%
294,Mobius,MOBI,"$36,167,218",$0.096021,"376,657,502","$727,676",-0.64%,-7.05%,-15.56%
295,Namecoin,NMC,"$36,150,158",$2.45,"14,736,400","$127,523",0.48%,-4.09%,24.45%
296,Banca,BANCA,"$35,955,614",$0.003073,"11,698,970,018","$5,174,630",3.84%,-15.19%,-28.00%
297,BABB,BAX,"$35,863,903",$0.001712,"20,950,010,000","$241,697",1.13%,-9.20%,-28.39%
298,LinkEye,LET,"$35,261,640",$0.058769,"600,000,000","$1,436,580",2.59%,-6.66%,-4.25%
299,Cobinhood,COB,"$35,072,709",$0.096809,"362,287,317","$17,416",1.32%,-3.70%,-1.16%
300,Elastic,XEL,"$34,509,581",$0.376647,"91,623,140","$129,357",0.48%,-6.18%,-2.14%
301,Viberate,VIB,"$34,126,382",$0.203069,"168,053,133","$4,683,260",3.10%,-5.31%,-6.51%
302,Unikoin Gold,UKG,"$33,916,162",$0.240502,"141,022,371","$1,500,460",0.76%,-8.22%,-5.64%
303,Lunyr,LUN,"$33,144,233",$14.42,"2,297,853","$4,327,460",-0.42%,-7.73%,0.33%
304,Shift,SHIFT,"$33,113,746",$2.76,"12,004,127","$97,790",-0.09%,-6.28%,-4.75%
305,Zoin,ZOI,"$32,931,865",$1.87,"17,613,354","$81,818",3.03%,-2.71%,14.41%
306,SwftCoin,SWFTC,"$32,569,250",$0.018611,"1,750,000,000","$34,025,100",-0.31%,-6.91%,19.76%
307,Dai,DAI,"$32,506,825",$1.00,"32,376,026","$1,379,560",0.21%,0.30%,0.50%
308,adToken,ADT,"$32,476,860",$0.054128,"600,000,000","$735,375",2.70%,-7.99%,-14.37%
309,Safe Exchange...,SAFEX,"$32,337,022",$0.020955,"1,543,157,590","$32,561",0.34%,-3.79%,-26.34%
310,COSS,COSS,"$32,147,897",$0.270581,"118,810,622","$215,610",1.71%,-10.59%,-25.40%
311,XTRABYTES,XBY,"$31,879,770",$0.074139,"430,000,000","$37,676",-0.51%,-5.31%,-16.77%
312,ugChain,UGC,"$31,007,580",$0.054510,"568,842,039","$527,760",-0.91%,-13.08%,12.13%
313,AI Doctor,AIDOC,"$30,806,880",$0.069490,"443,330,796","$5,397,740",-0.81%,-3.53%,15.29%
314,DeepOnion,ONION,"$30,719,252",$2.13,"14,401,900","$130,721",-0.34%,-4.00%,6.72%
315,Bankex,BKX,"$30,703,731",$0.442989,"69,310,370","$1,934,940",0.21%,-0.86%,-8.49%
316,ECC,ECC,"$30,666,750",$0.001227,"25,000,000,000","$26,469",-5.51%,-4.45%,8.46%
317,FirstBlood,1ST,"$30,544,595",$0.357003,"85,558,371","$655,275",1.58%,-8.75%,9.60%
318,Mercury,MER,"$30,129,300",$0.301293,"100,000,000","$3,860,900",1.66%,-1.59%,-3.79%
319,Legolas Exchange,LGO,"$30,110,626",$0.251686,"119,635,679","$102,744",-0.48%,1.39%,-16.29%
320,Synereo,AMP,"$30,027,084",$0.298099,"100,728,564","$816,662",-0.48%,0.82%,0.03%
321,Humaniq,HMQ,"$29,971,505",$0.184029,"162,862,944","$148,950",0.99%,-3.91%,-4.22%
322,Switcheo,SWH,"$29,923,771",$0.060922,"491,184,909","$666,781",0.91%,-5.70%,24.84%
323,Spectre.ai Di...,SXDT,"$29,489,754",$0.359309,"82,073,519","$14,666",0.43%,-8.55%,-14.82%
324,Qbao,QBT,"$29,217,828",$0.447088,"65,351,403","$4,792,170",0.60%,13.44%,29.72%
325,Cofound.it,CFI,"$29,006,868",$0.089252,"325,000,000","$380,500",0.50%,-6.79%,-7.38%
326,Zeusshield,ZSC,"$28,981,257",$0.025132,"1,153,170,765","$1,207,570",-0.57%,-8.22%,10.04%
327,ColossusXT,COLX,"$28,421,227",$0.002616,"10,863,926,416","$275,921",8.28%,2.13%,43.99%
328,Zeepin,ZPT,"$28,304,165",$0.096329,"293,827,778","$1,431,170",1.02%,-9.79%,-15.07%
329,Havven,HAV,"$28,231,200",$0.466857,"60,470,766","$711,898",-1.45%,-11.67%,-11.76%
330,Mothership,MSP,"$28,121,240",$0.200866,"140,000,000","$118,402",0.96%,-2.63%,2.22%
331,Matchpool,GUP,"$28,093,875",$0.374585,"75,000,000","$1,502,840",1.18%,-9.59%,-14.53%
332,HempCoin,THC,"$28,018,842",$0.121568,"230,478,760","$186,827",1.79%,-6.69%,9.26%
333,Trade Token,TIO,"$27,782,666",$0.308966,"89,921,436","$2,362,630",0.09%,-14.28%,-18.14%
334,Aeon,AEON,"$27,723,817",$1.75,"15,800,558","$110,050",1.16%,-5.87%,-10.58%
335,Measurable Da...,MDT,"$27,697,645",$0.093809,"295,256,357","$2,400,640",1.04%,-6.99%,14.39%
336,MedicCoin,MEDIC,"$27,619,460",$0.153926,"179,433,366","$69,956",-2.63%,11.68%,30.64%
337,Monetha,MTH,"$27,613,819",$0.126951,"217,515,567","$1,049,790",-0.28%,-8.53%,-13.39%
338,U.CASH,UCASH,"$27,599,341",$0.014962,"1,844,678,441","$250,179",16.40%,155.42%,276.80%
339,Propy,PRO,"$27,515,345",$1.58,"17,460,415","$7,488,070",0.42%,-7.25%,-2.00%
340,Everex,EVX,"$27,430,260",$1.66,"16,500,000","$1,239,380",1.17%,-4.51%,-3.98%
341,Unobtanium,UNO,"$27,227,762",$137.10,"198,604","$12,216",0.22%,-4.46%,-1.67%
342,XinFin Network,XDCE,"$27,196,286",$0.007828,"3,474,218,469","$448,302",-1.30%,-7.17%,-12.77%
343,PotCoin,POT,"$26,727,338",$0.121557,"219,874,939","$92,940",-2.88%,-7.56%,-10.74%
344,Peerplays,PPY,"$26,657,703",$6.72,"3,967,688","$6,520",0.29%,1.03%,5.72%
345,UpToken,UP,"$26,614,099",$0.187466,"141,967,607","$501,371",2.47%,-6.21%,-4.75%
346,ODEM,ODE,"$26,333,258",$0.148371,"177,482,511","$14,209",0.00%,-3.33%,-25.10%
347,Phore,PHR,"$26,219,877",$2.02,"12,948,471","$68,572",-2.92%,0.78%,-22.95%
348,EchoLink,EKO,"$26,156,164",$0.070159,"372,810,007","$6,361,130",-0.04%,7.72%,34.34%
349,Bean Cash,BITB,"$26,140,260",$0.010474,"2,495,800,000","$1,535,100",1.58%,-5.45%,-0.02%
350,LEOcoin,LEO,"$26,062,541",$0.256160,"101,743,211","$1,133,780",0.54%,-0.66%,19.40%
351,Guaranteed Et...,GETX,"$26,018,910",$0.086730,"300,000,000","$410,324",0.70%,-26.42%,104.62%
352,HTMLCOIN,HTML,"$25,913,907",$0.000393,"65,877,343,747","$34,354",1.29%,-4.43%,-11.84%
353,I/O Coin,IOC,"$25,619,342",$1.53,"16,695,889","$45,065",-1.18%,-0.52%,-0.14%
354,Pepe Cash,PEPECASH,"$25,607,957",$0.036485,"701,884,009","$97,643",2.73%,-5.89%,-10.25%
355,SunContract,SNC,"$25,561,481",$0.213608,"119,665,373","$3,099,570",0.20%,-6.89%,0.45%
356,Decision Token,HST,"$25,116,101",$0.784241,"32,025,998","$108,631",3.03%,-9.68%,-2.54%
357,DMarket,DMT,"$24,874,929",$0.495358,"50,216,064","$239,552",0.77%,-11.72%,-12.80%
358,Crown,CRW,"$24,868,781",$1.36,"18,313,743","$44,028",0.37%,-7.80%,-10.95%
359,Lykke,LKK,"$24,540,821",$0.078497,"312,631,877","$23,981",0.09%,0.31%,20.61%
360,TE-FOOD,TFD,"$24,523,282",$0.053653,"457,067,698","$67,558",9.54%,1.05%,27.99%
361,Energo,TSL,"$24,504,237",$0.042101,"582,029,029","$1,545,010",-1.37%,-10.39%,-9.42%
362,Agrello,DLT,"$24,320,414",$0.282865,"85,978,873","$1,038,170",1.23%,-8.44%,-3.06%
363,Fortuna,FOTA,"$24,233,534",$0.060495,"400,586,067","$1,004,200",-0.94%,2.09%,-9.73%
364,indaHash,IDH,"$24,163,669",$0.060419,"399,936,259","$38,692",-3.75%,-1.79%,50.43%
365,Blocktix,TIX,"$24,022,680",$0.600567,"40,000,000","$1,713,230",0.37%,-5.73%,-11.53%
366,WeTrust,TRST,"$23,725,309",$0.257471,"92,147,500","$303,112",0.38%,-9.68%,-17.35%
367,BlackCoin,BLK,"$23,563,418",$0.306716,"76,824,872","$204,878",-0.48%,-8.44%,-2.37%
368,Alphacat,ACAT,"$23,425,923",$0.008395,"2,790,428,084","$1,462,790",0.30%,-5.68%,-12.84%
369,Karma,KRM,"$23,393,666",$0.013122,"1,782,809,241","$65,489",0.32%,0.88%,4.82%
370,ShipChain,SHIP,"$23,306,353",$0.136868,"170,283,431","$232,330",2.32%,4.14%,-20.57%
371,Restart Energ...,MWAT,"$23,107,574",$0.055681,"415,000,000","$114,920",0.03%,-3.75%,-17.02%
372,Omni,OMNI,"$23,084,617",$41.15,"560,965","$1,065,260",0.35%,-2.29%,6.13%
373,Bitcoin Green,BITG,"$23,077,653",$7.57,"3,049,586","$231,927",-1.04%,-19.87%,53.89%
374,SHIELD,XSH,"$22,951,433",$0.047644,"481,730,692","$105,640",5.60%,8.69%,-21.32%
375,Olympus Labs,MOT,"$22,947,168",$0.591529,"38,792,972","$489,354",1.51%,-6.83%,23.99%
376,Moeda Loyalty...,MDA,"$22,483,713",$1.15,"19,628,888","$1,460,830",0.16%,-8.82%,-5.37%
377,Storiqa,STQ,"$22,204,147",$0.002859,"7,767,544,247","$144,948",5.89%,0.01%,18.68%
378,ProChain,PRA,"$22,137,400",$0.446654,"49,562,749","$16,637,000",-0.45%,-5.87%,9.91%
379,StakeNet,XSN,"$21,951,013",$0.384549,"57,082,486","$105,333",-0.05%,-7.61%,-12.77%
380,DADI,DADI,"$21,878,259",$0.281660,"77,676,130","$2,465,460",0.38%,-8.53%,-3.81%
381,Selfkey,KEY,"$21,724,859",$0.011359,"1,912,500,536","$116,364",-1.17%,-8.00%,-7.47%
382,Grid+,GRID,"$21,501,793",$0.548005,"39,236,491","$1,581",0.28%,-17.11%,-2.33%
383,U Network,UUU,"$21,483,918",$0.003755,"5,721,812,434","$2,157,330",0.00%,-3.34%,-22.83%
384,Cappasity,CAPP,"$21,460,110",$0.051842,"413,948,999","$310,822",0.30%,-20.62%,-28.89%
385,Boolberry,BBR,"$21,457,844",$1.87,"11,471,961","$61,532",0.20%,-14.50%,64.26%
386,Radium,RADS,"$21,134,172",$6.07,"3,481,902","$86,535",1.48%,-3.76%,-11.94%
387,Numeraire,NMR,"$21,116,581",$15.65,"1,349,328","$156,737",0.09%,-5.43%,-7.45%
388,Diamond,DMD,"$21,017,232",$7.60,"2,767,045","$40,615",1.14%,-6.23%,-10.84%
389,AICHAIN,AIT,"$20,918,287",$0.039095,"535,067,071","$1,989,080",6.22%,3.95%,-3.38%
390,Pascal Coin,PASC,"$20,871,591",$1.03,"20,288,500","$70,962",-0.49%,-10.80%,-7.92%
391,ATMChain,ATM,"$20,843,919",$0.004473,"4,660,285,460","$490,505",2.15%,2.49%,16.42%
392,Blockport,BPT,"$20,746,682",$0.399121,"51,980,933","$175,736",-0.11%,-6.64%,11.00%
393,Mooncoin,MOON,"$20,651,344",$0.000092,"224,101,119,685","$21,295",-0.14%,-30.39%,10.95%
394,Dimecoin,DIME,"$20,562,282",$0.000038,"539,096,740,560","$98,682",3.11%,-5.00%,-28.03%
395,Hive Project,HVN,"$20,476,988",$0.054605,"375,000,000","$40,660",-3.48%,-5.94%,1.79%
396,Aeron,ARN,"$20,307,170",$1.56,"13,000,000","$12,153,400",0.60%,-9.70%,-25.72%
397,SpaceChain,SPC,"$20,252,564",$0.039326,"514,991,707","$13,955",-1.85%,-8.58%,-8.20%
398,DIMCOIN,DIM,"$20,231,969",$0.009623,"2,102,485,837","$54,902",-0.10%,-5.08%,42.21%
399,SIBCoin,SIB,"$20,055,057",$1.20,"16,721,326","$85,332",1.98%,-3.55%,-0.12%
400,OneRoot Network,RNT,"$19,980,693",$0.084573,"236,252,688","$495,913",-0.09%,-8.64%,-1.27%
401,VeriCoin,VRC,"$19,947,831",$0.644610,"30,945,581","$172,719",0.10%,-5.54%,-3.44%
402,GridCoin,GRC,"$19,847,443",$0.050850,"390,312,753","$27,620",0.34%,-4.47%,-5.88%
403,carVertical,CV,"$19,836,798",$0.003553,"5,582,955,241","$148,293",3.59%,-4.10%,-10.70%
404,Datawallet,DXT,"$19,732,601",$0.050568,"390,222,225","$598,165",0.12%,-2.95%,-9.26%
405,FlorinCoin,FLO,"$19,680,371",$0.136796,"143,866,571","$125,170",1.15%,-10.69%,16.87%
406,OAX,OAX,"$19,678,553",$0.786851,"25,009,250","$2,783,800",0.73%,-7.26%,-17.84%
407,PACcoin,$PAC,"$19,561,845",$0.005414,"3,613,463,286","$66,765",0.15%,-9.74%,-13.85%
408,Banyan Network,BBN,"$19,250,652",$0.123057,"156,436,867","$1,951,790",1.01%,-0.49%,8.95%
409,RevolutionVR,RVR,"$19,183,962",$0.091352,"210,000,000","$631,944",-0.49%,-5.88%,-8.44%
410,Ormeus Coin,ORME,"$18,958,743",$1.11,"17,029,321","$1,890,920",-2.08%,-3.57%,-10.02%
411,OracleChain,OCT,"$18,811,650",$0.627055,"30,000,000","$54,770",-9.44%,-17.49%,-3.59%
412,PolySwarm,NCT,"$18,763,048",$0.012779,"1,468,214,570","$104,359",-1.06%,-8.45%,20.90%
413,LATOKEN,LA,"$18,628,367",$0.229874,"81,037,294","$1,854,550",0.70%,-6.92%,-1.58%
414,Hi Mutual Soc...,HMC,"$18,589,570",$0.046002,"404,100,000","$960,910",0.29%,-1.12%,-16.07%
415,Expanse,EXP,"$18,568,251",$2.35,"7,906,397","$1,326,450",-0.82%,-10.34%,5.78%
416,Bitcoin Atom,BCA,"$18,534,992",$1.03,"17,989,025","$19,298",-1.39%,-1.11%,-5.62%
417,FairCoin,FAIR,"$18,405,119",$0.346001,"53,193,831",$542,0.37%,-14.81%,-1.79%
418,Blackmoon,BMC,"$18,210,033",$0.861368,"21,140,828","$902,773",-0.20%,-9.69%,3.39%
419,Flash,FLASH,"$18,209,070",$0.020232,"900,000,000","$14,280",0.34%,-11.97%,-9.37%
420,Matryx,MTX,"$18,176,849",$0.782665,"23,224,303","$495,356",-2.81%,-12.98%,-19.95%
421,MktCoin,MLM,"$18,085,885",$0.016382,"1,104,036,562","$19,119",0.55%,-7.68%,-19.95%
422,BitClave,CAT,"$18,068,098",$0.036036,"501,394,406","$997,605",-0.47%,-9.91%,-11.54%
423,SolarCoin,SLR,"$17,686,913",$0.415408,"42,577,208","$92,868",3.50%,3.84%,6.79%
424,Zap,ZAP,"$17,599,020",$0.165565,"106,296,740","$22,253",1.74%,-2.43%,9.56%
425,ALQO,ALQO,"$17,566,662",$0.439895,"39,933,761","$94,702",0.33%,-6.63%,-19.11%
426,Pareto Network,PARETO,"$17,515,491",$0.071705,"244,270,177","$128,917",-0.65%,-10.38%,-6.05%
427,Uquid Coin,UQC,"$17,427,000",$1.74,"10,000,000","$2,993,660",0.50%,-8.40%,-8.90%
428,PRIZM,PZM,"$17,424,215",$0.970969,"17,945,181","$7,280",0.17%,-2.20%,-2.51%
429,Primas,PST,"$17,220,966",$0.336347,"51,200,000","$1,892,520",-2.33%,-4.95%,38.17%
430,E-Dinar Coin,EDR,"$17,209,262",$0.019419,"886,211,988","$53,504",1.98%,-7.48%,-7.27%
431,Bee Token,BEE,"$17,108,738",$0.102010,"167,716,285","$2,196",0.43%,?,5.25%
432,Myriad,XMY,"$17,046,895",$0.010841,"1,572,504,750","$273,083",4.69%,10.85%,14.21%
433,Covesting,COV,"$17,046,820",$0.974104,"17,500,000","$56,307",0.37%,-4.59%,-11.04%
434,Rentberry,BERRY,"$17,006,516",$0.066523,"255,647,503","$256,472",-3.41%,-13.30%,-31.35%
435,SureRemit,RMT,"$16,894,700",$0.033789,"500,000,000","$9,647",2.00%,-1.33%,-20.01%
436,Rubycoin,RBY,"$16,841,865",$0.658032,"25,594,294","$20,546",0.51%,2.53%,15.48%
437,Divi,DIVX,"$16,748,228",$3.13,"5,343,207","$1,132,130",1.04%,-5.79%,-0.61%
438,Databits,DTB,"$16,690,272",$0.733709,"22,747,809","$38,276",0.34%,-7.36%,3.70%
439,Devery,EVE,"$16,641,227",$0.264489,"62,918,410","$15,125",0.43%,-10.21%,-6.36%
440,Pure,PURE,"$16,425,123",$1.76,"9,314,621","$362,046",-0.94%,-0.49%,22.40%
441,MonetaryUnit,MUE,"$16,232,022",$0.124278,"130,610,581","$244,385",-0.25%,-4.42%,-1.49%
442,Maecenas,ART,"$16,070,874",$0.533028,"30,150,150","$14,361",-5.70%,-30.73%,35.89%
443,WhiteCoin,XWC,"$16,024,681",$0.064375,"248,926,317","$424,942",-0.68%,-6.86%,-5.31%
444,Tao,XTO,"$16,006,779",$0.486458,"32,904,751","$49,498",0.29%,-19.75%,-1.16%
445,Incent,INCNT,"$15,815,538",$0.343692,"46,016,602","$24,691",-1.44%,-5.57%,-10.23%
446,iXledger,IXT,"$15,733,639",$0.439747,"35,778,844","$120,130",0.83%,-4.22%,0.00%
447,Auctus,AUC,"$15,697,045",$0.948773,"16,544,574","$163,515",2.60%,-16.11%,5.83%
448,Neumark,NEU,"$15,627,393",$0.544089,"28,722,127","$206,685",0.27%,-5.80%,13.01%
449,aXpire,AXP,"$15,625,248",$0.058963,"265,000,000","$66,473",-0.08%,-4.86%,-19.07%
450,Nimiq Exchang...,NET,"$15,455,895",$1.47,"10,500,000","$159,137",0.07%,-3.82%,-5.10%
451,Lendingblock,LND,"$15,261,048",$0.030220,"505,003,300","$83,509",5.69%,-4.60%,?
452,CoinFi,COFI,"$15,202,778",$0.088075,"172,611,331","$3,262,610",0.35%,19.43%,46.70%
453,bitUSD,BITUSD,"$15,148,666",$0.958279,"15,808,200","$4,203,550",0.09%,-3.41%,-4.80%
454,Linda,LINDA,"$15,142,174",$0.001681,"9,007,140,354","$336,613",1.95%,1.39%,2.17%
455,EncrypGen,DNA,"$15,138,589",$0.246272,"61,471,013","$216,491",-0.69%,-8.85%,-5.47%
456,AurumCoin,AU,"$15,097,046",$50.68,"297,903","$21,863",0.35%,26.20%,62.52%
457,ICOS,ICOS,"$14,922,952",$26.62,"560,674","$7,325",2.11%,-4.63%,-20.66%
458,LoMoCoin,LMC,"$14,636,625",$0.063004,"232,311,900","$25,788",0.74%,-5.49%,-10.46%
459,DecentBet,DBET,"$14,633,621",$0.117491,"124,550,997","$44,895",0.27%,-8.52%,-20.26%
460,REBL,REBL,"$14,610,068",$0.086201,"169,488,381","$2,039,200",1.14%,1.21%,35.72%
461,Hacken,HKN,"$14,591,910",$3.04,"4,801,850","$296,280",2.29%,2.76%,-20.24%
462,Clams,CLAM,"$14,325,915",$4.76,"3,008,976","$85,217",-0.56%,-5.58%,-10.28%
463,SwissBorg,CHSB,"$14,315,316",$0.024861,"575,821,133","$107,996",-1.29%,0.23%,-9.19%
464,Aphelion,APH,"$14,267,020",$0.393322,"36,273,130","$239,743",-2.46%,-8.49%,?
465,Bismuth,BIS,"$14,216,894",$1.47,"9,683,477","$56,441",1.90%,-11.59%,-11.12%
466,BitSend,BSD,"$14,199,496",$0.744707,"19,067,225","$102,331",-0.04%,-5.32%,-5.97%
467,CoinPoker,CHP,"$14,197,961",$0.070490,"201,418,945","$80,096",0.17%,-2.37%,10.68%
468,LUXCoin,LUX,"$14,054,570",$8.53,"1,647,370","$177,808",-2.88%,-4.49%,-14.37%
469,Smartlands,SLT,"$13,918,406",$2.73,"5,100,896","$244,248",1.07%,2.34%,-18.22%
470,OKCash,OK,"$13,830,888",$0.186912,"73,996,792","$283,733",1.72%,-6.59%,-7.28%
471,SportyCo,SPF,"$13,791,094",$0.262181,"52,601,425","$3,887,320",1.46%,18.74%,45.84%
472,Bounty0x,BNTY,"$13,764,326",$0.099784,"137,940,937","$326,035",2.06%,-2.52%,12.16%
473,NoLimitCoin,NLC2,"$13,716,767",$0.066039,"207,708,332","$25,562",-0.45%,-1.04%,1.10%
474,Polybius,PLBT,"$13,701,073",$3.45,"3,969,565","$20,707",0.28%,-3.08%,-13.05%
475,Titanium BAR,TBAR,"$13,625,823",$0.315249,"43,222,416","$155,134",0.34%,-5.24%,-17.04%
476,Hedge,HDG,"$13,412,736",$3.62,"3,709,674",$810,-0.72%,69.41%,-14.45%
477,Oxycoin,OXY,"$13,392,394",$0.123488,"108,450,975","$25,516",1.02%,-0.81%,31.75%
478,Leadcoin,LDC,"$13,383,740",$0.017062,"784,399,592","$1,009,710",1.28%,-5.44%,22.59%
479,Patientory,PTOY,"$13,370,490",$0.191007,"70,000,000","$506,749",3.62%,-3.35%,2.51%
480,MUSE,MUSE,"$13,297,295",$0.911910,"14,581,806",$820,0.21%,-6.29%,23.55%
481,NeosCoin,NEOS,"$13,291,258",$3.50,"3,793,308","$43,574",0.18%,-1.02%,-16.69%
482,BitDegree,BDG,"$13,127,251",$0.037023,"354,569,198","$25,606",0.33%,-6.49%,-13.92%
483,Energycoin,ENRG,"$13,013,022",$0.106793,"121,852,758","$11,701",2.26%,-5.61%,-6.26%
484,Nexium,NXC,"$12,983,064",$0.195173,"66,520,799","$25,782",0.18%,-7.00%,0.75%
485,Swarm City,SWT,"$12,834,896",$1.57,"8,153,333","$71,429",0.37%,-6.32%,-5.16%
486,Debitum,DEB,"$12,794,250",$0.067593,"189,283,937","$80,015",0.17%,-8.52%,-3.53%
487,Snovio,SNOV,"$12,781,061",$0.031560,"404,980,448","$157,866",0.28%,-7.07%,-8.53%
488,Remme,REM,"$12,637,009",$0.021051,"600,295,910","$370,953",4.53%,-0.65%,1.52%
489,Quantum,QAU,"$12,630,904",$0.168711,"74,867,103","$4,758",-0.70%,-11.51%,3.75%
490,DomRaider,DRT,"$12,611,490",$0.021321,"591,500,000","$210,071",-1.42%,-7.64%,0.99%
491,Worldcore,WRC,"$12,515,920",$0.071475,"175,109,299","$444,634",-6.54%,-3.41%,18.53%
492,Effect.AI,EFX,"$12,502,853",$0.064558,"193,668,526","$82,191",-3.94%,-3.61%,-12.08%
493,Musicoin,MUSIC,"$12,500,181",$0.016926,"738,519,522","$89,059",-0.49%,-5.54%,-6.67%
494,Zilla,ZLA,"$12,466,273",$0.324080,"38,466,654","$3,678,380",1.64%,18.07%,36.75%
495,Paragon,PRG,"$12,411,115",$0.188228,"65,936,605","$90,429",-0.83%,-12.37%,-22.90%
