coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
xplay,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,204,-0.176,-1.4,-2.8,-2.834,0.034,-0.573,-0.024,-0.025
corion,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,18358,0.091,0.05,0.792,0.907,-0.323,-5.279,-0.002,-0.019
paquarium,20 Jul 2017,24 Aug 2017,35.0,294.0,5,other,10,61980.0,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
monsterbyte,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
coindash,17 Jul 2017,17 Aug 2017,31.0,301.0,12,saas,9,7000000.0,N/A,N/A,0.5,2,0,549,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
district0xnetwork,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11.97,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
rootproject,10 Apr 2018,13 Apr 2018,3.0,62.0,1,blockchain,10,N/A,13000000.0,N/A,N/A,4757,0,1259,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
trueflip,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,133868,-0.088,0.02,0.323,0.432,-0.114,-0.256,0.009,-0.017
geofounders,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
primalbase,27 Jun 2017,28 Jun 2017,1.0,351.0,5,fintech,3,7600000.0,7600000.0,1.0,N/A,N/A,0,884,N/A,N/A,0.0,452,0.16,0.054,0.853,0.951,0.104,0.304,0.003,0.004
eros,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gilgam,20 Jun 2017,20 Jul 2017,30.0,329.0,5,entertainment,8,686374.0,68637400.0,0.01,0.45,588,0,2686,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gilgam.es,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sumerchain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bitquence,28 Jun 2017,16 Jul 2017,18.0,333.0,1,blockchain,10,1680433.0,1680433.0,1.0,0.03,1668,0,347,N/A,N/A,102.333,8566770,-0.198,-1.574,-3.148,-2.943,-0.431,-3.533,-0.024,-0.023
pressone,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,169164,0.027,-0.143,-2.264,-2.135,1.353,11.206,0.002,0.015
orocrypt,14 Jun 2017,14 Jul 2017,30.0,335.0,10,other,4,N/A,N/A,N/A,N/A,N/A,0,5512,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fuck,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,2,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tezos,1 Jul 2017,13 Jul 2017,12.0,336.0,1,fintech,16,232000000.0,N/A,N/A,0.47,369,0,10007,N/A,N/A,2.936,459394,0.04,0.143,2.273,2.489,0.182,0.991,0.008,-0.006
insurex,11 Jul 2017,13 Jul 2017,2.0,336.0,4,other,3,7104000.0,N/A,N/A,0.16,N/A,0,N/A,N/A,N/A,3.614,403962,0.006,0.05,0.1,0.269,0.254,1.539,-0.011,-0.012
nimiq,28 Jun 2017,8 Jul 2017,10.0,341.0,5,blockchain,13,10000000.0,10000000.0,1.0,1.4,N/A,0,900,N/A,N/A,-0.393,1222,0.117,0.094,1.489,1.53,-0.292,0.322,0.01,-0.028
leviarcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,963,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
onplace,10 Feb 2018,15 Mar 2018,33.0,91.0,1,blockchain,10,N/A,N/A,N/A,N/A,N/A,0,147,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
santiment,4 Jul 2017,5 Jul 2017,1.0,344.0,6,fintech,12,12215250.0,12215250.0,1.0,0.27,N/A,0,9015,N/A,N/A,0.173,4528390,-0.004,0.08,1.273,1.382,-0.115,-4.145,0.011,-0.02
openanx,22 Jun 2017,21 Jul 2017,29.0,328.0,3,fintech,28,18756937.0,22598719.0,0.83,0.45,N/A,0,12347,N/A,N/A,0.55,2865510,-0.153,-1.217,-2.434,-2.17,0.283,1.774,-0.017,-0.018
rialto,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,51162,0.265,0.194,3.075,3.144,-0.157,0.842,0.012,-0.007
crypviser,20 May 2017,30 Jun 2017,41.0,349.0,2,saas,6,4025989.0,7455535.0,0.54,1.0,2242,0,10313,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
rialto.ai,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
encryptotel,24 Apr 2017,31 May 2017,37.0,379.0,2,saas,3,44292128.0,N/A,N/A,N/A,356,0,215,N/A,N/A,0.0,2253,0.076,0.072,1.143,1.197,0.18,3.417,0.081,0.088
dcorp,01 Jun 2017,29 Jun 2017,28.0,350.0,12,other,4,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,199375,-0.09,0.134,2.122,2.199,0.213,-0.077,0.01,0.033
air,N/A,N/A,N/A,N/A,12,other,N/A,7072410.0,9429880.0,0.75,0.0471,4270,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21million,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
silvercoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
idice,12 Jun 2017,26 Jun 2017,14.0,353.0,12,other,N/A,2500000.0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,3644,0.114,0.076,1.211,1.252,-0.487,12.388,0.09,0.033
octanox,N/A,N/A,N/A,N/A,12,entertainment,3,N/A,N/A,N/A,N/A,844,0,N/A,N/A,N/A,0.0,33929,0.202,0.121,1.929,1.985,-0.432,-2.695,0.026,-0.002
nvo,23 May 2017,27 Jun 2017,35.0,352.0,12,saas,4,7790556.0,N/A,N/A,0.52,N/A,0,2700,N/A,N/A,-0.157,1831,0.142,0.085,1.356,1.433,-0.415,-6.562,0.026,-0.005
masknetwork,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
footballcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
internetofcoins,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bidlend,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
superdao,N/A,N/A,N/A,N/A,12,other,4,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aira,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
embermine,5 May 2017,2 Jun 2017,28.0,377.0,1,saas,4,80000.0,N/A,N/A,0.04,1052,0,347,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
adel,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
basicattentiontoken,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
exscudo,25 Apr 2017,31 May 2017,36.0,379.0,5,saas,9,5389491.0,5389491.0,1.0,0.44,N/A,0,9209,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
mysteriumnetwork,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
e4row,2 May 2017,23 May 2017,21.0,387.0,12,saas,1,40000032.0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
vivacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bitcoingrowthfund,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
legendsroom,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
nexxus,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,15769,0.17,0.184,2.919,2.947,0.127,-26.652,0.157,0.311
quantumresistantledger,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
creativechain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
apptrade,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
backtoearth,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iex.ec,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
blockchaincapital,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cosmosnetwork,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cosmos,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
equibit,01 Feb 2017,01 Apr 2017,59.0,439.0,1,other,1,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
chainofpoints,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cashscripter,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lykke,N/A,N/A,N/A,N/A,6,other,9,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,74389,-0.103,0.038,0.605,0.896,-0.001,-3.976,0.002,-0.005
augmentors,30 Jan 2017,28 Feb 2017,29.0,471.0,11,saas,7,10695258.0,10695258.0,1.0,0.08,N/A,0,4860,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lykke(2ndround),N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
contingency,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dfinity,N/A,N/A,N/A,N/A,12,other,30,N/A,N/A,N/A,N/A,59600,0,47,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
betking,7 Aug 2017,4 Sep 2017,28.0,283.0,4,other,N/A,6500000.0,N/A,N/A,0.09,123,0,2960,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ether.camp,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
virtualaccelerator,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
mysterium(1stround),N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
vdice,15 Nov 2016,15 Dec 2016,30.0,546.0,12,other,N/A,3000000.0,N/A,N/A,0.08,N/A,0,5631,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beyondthevoid,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
massnetwork,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arcadecity,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
etcwin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kibolotto,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lykke(1stround),N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
antshares,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,98810800,-0.187,-1.48,-2.961,-2.646,-0.126,-0.998,-0.018,-0.018
metaverse,N/A,N/A,N/A,N/A,12,other,1,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1239070,-0.017,-0.094,-1.489,-1.307,-0.108,2.412,0.012,-0.006
