coin,start1,end1,duration1,age1,start3,end3,duration3,age3,start4,end4,duration4,age4,start5,end5,duration5,age5,country1,country2,country3,country5,industry1,industry2,industry4,team1,team2,team3,team4,team5,raised1,raised2,raised4,raised5,hardcap1,hardcap2,hardcap4,hardcap5,success1,success2,success4,price1,price2,price4,price5,telegram1,telegram2,telegram4,N_google_news,N_twitter,hype4,risk4,ret_day1,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
intelligenttradingtech,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kybernetwork,31 Aug 2017,15 Sep 2017,15.0,272.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31Aug2017,15Sept2017,N/A,N/A,singapore,singapore,N/A,singapore,cryptocurrency,trading,N/A,9,N/A,N/A,N/A,10,48960000.0,46000000.0,N/A,48960000.0,N/A,46000000.0,N/A,N/A,N/A,1.0,N/A,0.41,0.38,N/A,N/A,11207,11207,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kickico,29 Aug 2017,16 Sep 2017,18.0,271.0,29 Aug 2017,16 Sep 2017,18.0,271.0,27 Aug 2017,14 Sep 2017,18.0,273.0,29Aug2017,16Sept2017,N/A,N/A,russia,russia,russia,russia,platform,crowdfunding,businessservices&consulting,26,11,12,21,16,20000000.0,21581925.0,100000.0,20000000.0,N/A,12800000.0,N/A,N/A,N/A,1.69,N/A,0.08,0.085,0.08,N/A,N/A,6000,N/A,23,23,N/A,N/A,0.248,29279,-0.114,-0.126,-2.002,-2.029,0.196,-1.947,0.001,0.0
smartinvestmentfundtoken,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
trackr,16 Aug 2017,15 Sep 2017,30.0,272.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16Aug2017,15Sept2017,N/A,N/A,uk,N/A,N/A,uk,cryptocurrency,N/A,N/A,2,N/A,N/A,N/A,3,28879811.0,N/A,N/A,288798.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.047,12612,0.307,0.176,2.796,2.781,-0.059,0.51,0.039,0.087
facecoin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,other,N/A,N/A,3,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,560,N/A,N/A,0.096,4779,0.207,0.119,1.893,1.885,-0.591,-33.902,0.275,0.481
icobox,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
social(scl),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
enigmacatalyst,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ahoolee,28 Aug 2017,11 Sep 2017,14.0,276.0,28 Aug 2017,11 Sep 2017,14.0,276.0,N/A,N/A,N/A,N/A,28Aug2017,11Sept2017,N/A,N/A,russia,N/A,russia,russia,retail,N/A,N/A,6,N/A,8,N/A,8,N/A,N/A,N/A,N/A,10000000.0,N/A,N/A,N/A,N/A,N/A,N/A,0.4,N/A,N/A,N/A,N/A,N/A,N/A,6,6665,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
