#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,
28,Aeternity,AE,"$608,437,425",$2.61,"233,020,472","$7,237,740",-0.22%,-0.77%,-27.26%,Add to Watchlist
29,Bytom,BTM,"$572,809,038",$0.571381,"1,002,499,275","$119,745,000",-1.52%,10.26%,-9.65%,Add to Watchlist
30,Bitcoin Gold,BTG,"$563,541,859",$33.02,"17,068,699","$10,828,500",0.01%,-2.31%,-24.91%,Add to Watchlist
31,0x,ZRX,"$467,105,339",$0.878427,"531,752,028","$9,890,550",-0.09%,-6.73%,-31.33%,Add to Watchlist
32,Siacoin,SC,"$454,739,185",$0.012959,"35,091,420,075","$16,119,000",-1.50%,-6.45%,-26.17%,Add to Watchlist
33,Steem,STEEM,"$432,555,211",$1.65,"261,816,692","$1,466,750",-0.47%,-3.89%,-27.56%,Add to Watchlist
34,Verge,XVG,"$425,481,626",$0.028263,"15,054,315,539","$5,479,290",-0.21%,-5.01%,-27.16%,Add to Watchlist
35,BitShares,BTS,"$422,475,600",$0.160409,"2,633,740,000","$9,274,400",-0.74%,-1.39%,-25.34%,Add to Watchlist
36,Bitcoin Diamond,BCD,"$375,363,584",$2.44,"153,756,875","$971,462",-0.55%,-3.25%,-11.90%,Add to Watchlist
37,RChain,RHOC,"$368,734,762",$1.02,"360,564,373","$645,732",-0.58%,-2.03%,-21.47%,Add to Watchlist
38,Augur,REP,"$360,870,400",$32.81,"11,000,000","$3,034,260",-0.57%,-1.84%,-15.07%,Add to Watchlist
39,Nano,NANO,"$358,084,790",$2.69,"133,248,289","$7,277,370",0.08%,-3.60%,-31.60%,Add to Watchlist
40,Maker,MKR,"$355,993,479",$575.83,"618,228","$264,358",-0.17%,-5.60%,-27.59%,Add to Watchlist
41,Waves,WAVES,"$346,211,000",$3.46,"100,000,000","$21,187,400",0.87%,-4.05%,-24.19%,Add to Watchlist
42,Dogecoin,DOGE,"$336,739,950",$0.002931,"114,879,692,630","$10,855,800",0.56%,-0.37%,-20.19%,Add to Watchlist
43,Golem,GNT,"$329,483,891",$0.392597,"839,242,000","$9,415,550",0.81%,1.82%,-28.08%,Add to Watchlist
44,Populous,PPT,"$307,556,009",$8.31,"37,004,027","$6,166,730",0.57%,-4.51%,-23.52%,Add to Watchlist
45,Bitcoin Private,BTCP,"$306,668,727",$14.99,"20,462,316","$312,628",-0.45%,-4.76%,-18.85%,Add to Watchlist
46,Stratis,STRAT,"$302,305,339",$3.06,"98,897,309","$3,799,310",-0.63%,-4.78%,-28.91%,Add to Watchlist
47,Wanchain,WAN,"$301,156,745",$2.84,"106,152,493","$4,939,070",-2.26%,-7.02%,-35.38%,Add to Watchlist
48,DigiByte,DGB,"$277,726,240",$0.026711,"10,397,370,407","$1,557,740",-0.16%,-5.80%,-28.35%,Add to Watchlist
49,Waltonchain,WTC,"$266,387,317",$8.55,"31,144,099","$6,998,860",-0.38%,-2.47%,-27.72%,Add to Watchlist
50,Status,SNT,"$262,726,381",$0.075703,"3,470,483,788","$13,373,600",-0.35%,-2.69%,-20.07%,Add to Watchlist
51,Nebulas,NAS,"$248,820,390",$5.47,"45,500,000","$36,456,800",-0.60%,-0.22%,-19.11%,Add to Watchlist
52,Basic Attenti...,BAT,"$246,256,000",$0.246256,"1,000,000,000","$5,394,280",0.09%,8.70%,-10.08%,Add to Watchlist
53,Hshare,HSR,"$242,638,167",$5.63,"43,115,515","$27,627,000",-0.97%,-2.26%,-22.20%,Add to Watchlist
54,Aion,AION,"$237,088,175",$1.48,"160,651,702","$3,004,800",-0.38%,-3.63%,-27.94%,Add to Watchlist
55,DigixDAO,DGD,"$227,772,000",$113.89,"2,000,000","$939,310",0.45%,-3.14%,-29.21%,Add to Watchlist
56,KuCoin Shares,KCS,"$227,760,965",$2.51,"90,730,576","$1,365,630",-0.25%,-1.58%,-7.01%,Add to Watchlist
57,IOST,IOST,"$225,689,520",$0.026868,"8,400,000,000","$17,142,300",-0.02%,-1.68%,-32.84%,Add to Watchlist
58,Huobi Token,HT,"$216,143,365",$4.32,"50,000,200","$40,732,900",-0.70%,-1.59%,-23.16%,Add to Watchlist
59,Loopring,LRC,"$210,500,365",$0.367960,"572,074,043","$6,382,790",0.38%,-1.51%,-27.14%,Add to Watchlist
60,Komodo,KMD,"$202,008,735",$1.94,"104,253,963","$293,706",-0.67%,-3.99%,-21.53%,Add to Watchlist
61,GXChain,GXS,"$199,653,600",$3.33,"60,000,000","$21,274,500",0.46%,-1.54%,-17.81%,Add to Watchlist
62,Ardor,ARDR,"$186,007,712",$0.186194,"998,999,495","$1,166,590",-0.40%,-3.22%,-22.14%,Add to Watchlist
63,Cryptonex,CNX,"$176,720,712",$3.90,"45,324,276","$1,283,390",5.19%,1.78%,-9.11%,Add to Watchlist
64,aelf,ELF,"$175,041,250",$0.700165,"250,000,000","$16,643,800",-1.41%,2.43%,-30.63%,Add to Watchlist
65,Ark,ARK,"$166,652,951",$1.61,"103,232,230","$576,314",-0.30%,-3.91%,-31.43%,Add to Watchlist
66,Bancor,BNT,"$166,542,454",$3.30,"50,489,748","$5,698,180",-0.29%,-2.21%,-19.59%,Add to Watchlist
67,MonaCoin,MONA,"$161,809,712",$2.69,"60,200,425","$610,587",-0.90%,-1.96%,-16.86%,Add to Watchlist
68,MOAC,MOAC,"$152,155,050",$4.24,"35,897,055","$15,051",-1.10%,-2.38%,-23.69%,Add to Watchlist
69,PIVX,PIVX,"$150,240,831",$2.66,"56,446,926","$893,259",-0.33%,-2.32%,-24.78%,Add to Watchlist
70,CyberMiles,CMT,"$149,166,876",$0.215447,"692,359,959","$21,665,200",-0.31%,-0.52%,-27.31%,Add to Watchlist
71,ReddCoin,RDD,"$149,024,880",$0.005173,"28,808,713,174","$2,054,920",0.00%,-0.90%,-23.14%,Add to Watchlist
72,MaidSafeCoin,MAID,"$147,617,166",$0.326188,"452,552,412","$1,459,690",-0.32%,-1.62%,-26.33%,Add to Watchlist
73,Elastos,ELA,"$146,400,662",$28.08,"5,214,553","$7,598,420",-0.74%,-4.74%,-34.59%,Add to Watchlist
74,Dentacoin,DCN,"$142,232,981",$0.000437,"325,226,613,094","$36,646",-0.26%,-3.30%,-24.03%,Add to Watchlist
75,Veritaseum,VERI,"$138,322,034",$67.92,"2,036,645","$1,137,570",-1.25%,-3.80%,-14.66%,Add to Watchlist
76,Gas,GAS,"$134,531,155",$13.28,"10,128,375","$3,758,780",-0.25%,-3.58%,-29.68%,Add to Watchlist
77,Fusion,FSN,"$133,835,666",$4.51,"29,684,331","$5,136,560",-1.62%,2.06%,-18.67%,Add to Watchlist
78,Loom Network,LOOM,"$133,496,697",$0.221660,"602,258,852","$1,958,690",-1.41%,-4.02%,-24.26%,Add to Watchlist
79,Bibox Token,BIX,"$133,336,107",$1.28,"104,342,466","$87,790,400",4.98%,-8.49%,-24.00%,Add to Watchlist
80,Kyber Network,KNC,"$132,599,963",$0.988573,"134,132,697","$4,840,850",-0.61%,-2.88%,-27.76%,Add to Watchlist
81,WaykiChain,WICC,"$130,202,577",$0.742318,"175,400,000","$18,343,800",-0.08%,-16.21%,-59.14%,Add to Watchlist
82,Ethos,ETHOS,"$129,027,115",$1.68,"76,853,089","$3,397,410",-0.96%,-9.69%,-30.71%,Add to Watchlist
83,Mithril,MITH,"$127,419,566",$0.415715,"306,507,021","$101,761,000",0.33%,9.74%,-26.23%,Add to Watchlist
84,FunFair,FUN,"$122,798,117",$0.025274,"4,858,654,389","$1,375,630",-0.55%,-2.55%,-25.02%,Add to Watchlist
85,Cortex,CTXC,"$122,027,228",$0.814642,"149,792,458","$13,524,400",-0.85%,3.50%,-34.01%,Add to Watchlist
86,Syscoin,SYS,"$120,912,148",$0.225847,"535,371,946","$792,816",0.19%,-6.49%,-30.82%,Add to Watchlist
87,Nxt,NXT,"$114,291,587",$0.114406,"998,999,942","$2,589,720",-0.94%,-2.39%,-18.42%,Add to Watchlist
88,QASH,QASH,"$113,654,800",$0.324728,"350,000,000","$1,657,190",-0.91%,-6.53%,-33.76%,Add to Watchlist
89,Kin,KIN,"$112,879,317",$0.000149,"756,097,560,976","$299,256",-0.77%,-0.60%,-18.68%,Add to Watchlist
90,Dropil,DROP,"$111,296,023",$0.005718,"19,464,016,228","$158,793",0.48%,-0.59%,-17.53%,Add to Watchlist
91,Polymath,POLY,"$109,901,870",$0.397590,"276,420,107","$4,803,900",-0.70%,-1.43%,-36.28%,Add to Watchlist
92,Emercoin,EMC,"$109,209,052",$2.61,"41,895,520","$2,140,310",-2.94%,5.67%,4.48%,Add to Watchlist
93,Scry.info,DDD,"$106,693,354",$0.355577,"300,056,960","$2,200,910",0.00%,0.00%,-20.23%,Add to Watchlist
94,Enigma,ENG,"$104,464,560",$1.40,"74,836,171","$2,538,790",-0.04%,-1.97%,-27.72%,Add to Watchlist
95,Theta Token,THETA,"$103,396,513",$0.161821,"638,956,089","$11,654,100",-1.10%,-2.46%,-28.62%,Add to Watchlist
96,Decentraland,MANA,"$102,908,512",$0.097995,"1,050,141,509","$5,638,460",-0.73%,0.31%,-6.68%,Add to Watchlist
97,Substratum,SUB,"$102,754,959",$0.268275,"383,021,000","$1,299,890",0.09%,-3.26%,-27.25%,Add to Watchlist
98,Nuls,NULS,"$102,590,800",$2.56,"40,000,000","$1,970,340",-0.20%,-2.08%,-29.99%,Add to Watchlist
99,Blocknet,BLOCK,"$102,518,643",$19.75,"5,191,764","$288,237",1.05%,17.68%,-10.13%,Add to Watchlist
100,All Sports,SOC,"$100,891,217",$0.123734,"815,387,987","$23,828,500",3.20%,-8.85%,-23.28%,Add to Watchlist
101,Skycoin,SKY,"$99,079,200",$11.01,"9,000,000","$1,787,070",-2.06%,-8.95%,-49.91%,Add to Watchlist
102,Electroneum,ETN,"$97,236,542",$0.013520,"7,191,839,110","$534,298",-0.05%,-4.12%,-30.48%,Add to Watchlist
103,ZCoin,XZC,"$97,060,352",$19.50,"4,976,841","$896,119",-0.72%,-7.82%,-31.51%,Add to Watchlist
104,Power Ledger,POWR,"$96,822,846",$0.259296,"373,406,633","$1,242,350",0.05%,1.31%,-22.09%,Add to Watchlist
105,Dragonchain,DRGN,"$95,503,723",$0.400566,"238,421,940","$869,116",-0.23%,-5.73%,-28.55%,Add to Watchlist
106,Factom,FCT,"$92,273,069",$10.55,"8,745,102","$113,682",-0.69%,-1.82%,-30.72%,Add to Watchlist
107,eosDAC,EOSDAC,"$92,239,440",$0.139597,"660,755,177","$1,380,100",0.01%,-1.84%,-8.85%,Add to Watchlist
108,BnkToTheFuture,BFT,"$91,301,945",$0.144926,"629,990,099","$1,689,320",0.17%,2.48%,-26.66%,Add to Watchlist
109,Storm,STORM,"$91,200,508",$0.021896,"4,165,148,496","$6,515,940",-1.26%,-5.62%,-29.90%,Add to Watchlist
110,iExec RLC,RLC,"$85,164,096",$1.06,"80,070,793","$872,590",-2.48%,0.64%,-24.26%,Add to Watchlist
111,Nexus,NXS,"$82,961,334",$1.44,"57,810,359","$1,563,240",-0.97%,-3.33%,-28.57%,Add to Watchlist
112,Monaco,MCO,"$82,537,140",$5.23,"15,793,831","$6,764,830",1.99%,3.12%,-20.84%,Add to Watchlist
113,Byteball Bytes,GBYTE,"$81,325,895",$125.90,"645,946","$70,566",0.79%,-8.14%,-14.14%,Add to Watchlist
114,DeepBrain Chain,DBC,"$80,916,000",$0.053944,"1,500,000,000","$1,364,660",-1.59%,-2.51%,-32.32%,Add to Watchlist
115,Holo,HOT,"$80,246,462",$0.000602,"133,214,575,156","$2,500,590",6.86%,-11.92%,-40.21%,Add to Watchlist
116,Gifto,GTO,"$79,839,159",$0.151850,"525,776,482","$4,026,920",-0.11%,-1.47%,-31.47%,Add to Watchlist
117,Storj,STORJ,"$79,056,048",$0.582204,"135,787,539","$1,868,590",-0.37%,-1.05%,-21.86%,Add to Watchlist
118,Centrality,CENNZ,"$78,460,172",$0.099990,"784,683,332","$300,494",-4.27%,-9.18%,-49.04%,Add to Watchlist
119,WAX,WAX,"$77,429,453",$0.121460,"637,489,318","$914,655",-1.24%,-4.65%,-32.53%,Add to Watchlist
120,ChainLink,LINK,"$77,332,500",$0.220950,"350,000,000","$437,004",-2.74%,-5.78%,-26.66%,Add to Watchlist
121,Game.com,GTC,"$76,810,126",$0.124150,"618,688,086","$8,793,080",-0.02%,18.14%,-2.20%,Add to Watchlist
122,Matrix AI Net...,MAN,"$76,433,850",$0.509559,"150,000,000","$2,346,870",-1.43%,-5.62%,-34.86%,Add to Watchlist
123,ZenCash,ZEN,"$76,379,701",$18.76,"4,071,825","$2,058,980",-1.29%,-7.20%,-16.77%,Add to Watchlist
124,Docademic,MTC,"$74,270,790",$0.263725,"281,622,107","$2,277,000",-0.18%,35.55%,35.80%,Add to Watchlist
125,SmartCash,SMART,"$73,455,998",$0.071045,"1,033,931,838","$45,219",-0.46%,-1.79%,-20.95%,Add to Watchlist
126,SALT,SALT,"$72,835,638",$1.23,"59,056,561","$2,630,170",0.45%,-2.22%,-31.75%,Add to Watchlist
127,High Performa...,HPB,"$72,611,054",$2.44,"29,702,632","$5,021,040",-0.38%,-3.64%,-32.60%,Add to Watchlist
128,Achain,ACT,"$71,906,790",$0.138256,"520,098,876","$10,995,000",-0.27%,-0.33%,-28.70%,Add to Watchlist
129,Nexo,NEXO,"$69,871,761",$0.124771,"560,000,010","$7,919,050",-0.20%,-1.76%,-23.16%,Add to Watchlist
130,Iconomi,ICN,"$69,743,249",$0.703362,"99,156,976","$265,890",-0.31%,-1.70%,-21.47%,Add to Watchlist
131,Civic,CVC,"$69,089,341",$0.201603,"342,699,966","$4,823,480",-0.76%,-1.93%,-30.92%,Add to Watchlist
132,Paypex,PAYX,"$69,072,683",$1.01,"68,428,768","$2,433",-0.63%,0.02%,-25.84%,Add to Watchlist
133,True Chain,TRUE,"$69,040,006",$1.49,"46,448,735","$82,344,200",-0.70%,-1.53%,-33.78%,Add to Watchlist
134,Revain,R,"$67,692,723",$0.363061,"186,450,000","$4,896,730",-0.47%,1.35%,-18.20%,Add to Watchlist
135,TenX,PAY,"$67,594,907",$0.619868,"109,047,261","$3,332,260",-0.44%,-1.56%,-28.26%,Add to Watchlist
136,Bitcoin Interest,BCI,"$67,442,594",$3.68,"18,326,892","$37,151",-2.47%,-9.68%,-30.81%,Add to Watchlist
137,Asch,XAS,"$66,215,256",$0.709282,"93,355,331","$5,984,830",-0.54%,-1.41%,-24.89%,Add to Watchlist
138,BitcoinDark,BTCD,"$66,080,609",$51.27,"1,288,862","$329,080",-0.18%,-4.73%,-28.58%,Add to Watchlist
139,Aragon,ANT,"$66,068,533",$2.34,"28,209,823","$321,970",-0.09%,5.44%,-16.50%,Add to Watchlist
140,Request Network,REQ,"$66,013,155",$0.094664,"697,341,700","$675,417",0.30%,-0.21%,-23.93%,Add to Watchlist
141,Bottos,BTO,"$65,772,598",$0.131948,"498,473,628","$5,250,020",1.80%,7.53%,-9.29%,Add to Watchlist
142,Neblio,NEBL,"$64,817,316",$4.90,"13,229,914","$1,812,660",0.10%,-4.07%,-31.69%,Add to Watchlist
143,Nucleus Vision,NCASH,"$63,240,654",$0.014686,"4,306,245,098","$1,962,850",-1.74%,-3.84%,-29.51%,Add to Watchlist
144,GameCredits,GAME,"$62,945,133",$0.978087,"64,355,352","$474,147",-0.21%,-6.19%,-12.89%,Add to Watchlist
145,SingularityNET,AGI,"$62,119,091",$0.115105,"539,673,260","$2,349,210",-0.20%,-1.17%,-27.47%,Add to Watchlist
146,Time New Bank,TNB,"$61,304,245",$0.025958,"2,361,679,677","$5,092,520",-1.22%,-3.61%,-28.90%,Add to Watchlist
147,Ruff,RUFF,"$60,995,229",$0.066170,"921,800,000","$1,308,580",-1.92%,-0.09%,-26.62%,Add to Watchlist
148,Storiqa,STQ,"$60,975,931",$0.007568,"8,057,307,580","$1,475,430",-0.15%,-2.63%,-8.11%,Add to Watchlist
149,Arcblock,ABT,"$60,658,227",$0.650863,"93,196,613","$20,308,500",-0.41%,4.30%,-25.88%,Add to Watchlist
150,Quantstamp,QSP,"$60,516,913",$0.098033,"617,314,171","$1,301,000",-0.98%,-0.02%,-31.02%,Add to Watchlist
151,Cindicator,CND,"$59,767,273",$0.041334,"1,445,976,590","$386,884",0.34%,-2.96%,-28.17%,Add to Watchlist
152,Dent,DENT,"$59,665,147",$0.005621,"10,614,760,961","$1,551,510",0.12%,-5.73%,-31.23%,Add to Watchlist
153,Lympo,LYM,"$58,694,298",$0.081132,"723,440,241","$5,609,050",-0.53%,1.16%,-29.35%,Add to Watchlist
154,Enjin Coin,ENJ,"$58,204,896",$0.076971,"756,192,535","$1,719,380",-0.49%,-4.64%,-28.85%,Add to Watchlist
155,Gnosis,GNO,"$58,150,920",$52.64,"1,104,590","$315,839",-0.81%,-1.22%,-23.52%,Add to Watchlist
156,MediShares,MDS,"$57,917,277",$0.056921,"1,017,499,234","$927,789",1.47%,0.59%,-18.97%,Add to Watchlist
157,Santiment Net...,SAN,"$57,677,054",$0.920471,"62,660,371","$1,751,400",-1.06%,-0.97%,-19.65%,Add to Watchlist
158,CyberVein,CVT,"$55,178,145",$0.058352,"945,603,600","$11,675,100",-0.42%,3.55%,-13.81%,Add to Watchlist
159,Groestlcoin,GRS,"$53,387,661",$0.759844,"70,261,344","$2,109,510",0.03%,-3.88%,-21.02%,Add to Watchlist
160,Ignis,IGNIS,"$53,194,143",$0.069887,"761,143,950","$296,943",0.46%,-1.84%,-18.71%,Add to Watchlist
161,Bluzelle,BLZ,"$53,026,712",$0.289857,"182,940,941","$4,213,750",-2.59%,-4.44%,-31.62%,Add to Watchlist
162,IHT Real Esta...,IHT,"$50,368,556",$0.097905,"514,461,473","$3,494,420",-0.76%,-1.53%,-40.03%,Add to Watchlist
163,Odyssey,OCN,"$50,317,225",$0.010593,"4,750,000,000","$15,117,900",-0.22%,-4.39%,-32.67%,Add to Watchlist
164,Genaro Network,GNX,"$49,799,358",$0.206069,"241,663,510","$949,703",-1.38%,-2.85%,-22.58%,Add to Watchlist
165,TrueUSD,TUSD,"$49,755,565",$1.01,"49,360,680","$13,941,900",-0.18%,0.19%,0.60%,Add to Watchlist
166,SONM,SNM,"$49,447,158",$0.137506,"359,600,000","$773,075",-1.08%,-2.07%,-23.85%,Add to Watchlist
167,Dynamic Tradi...,DTR,"$48,725,816",$0.040003,"1,218,054,044","$7,287",-0.39%,-3.78%,-18.81%,Add to Watchlist
168,Vertcoin,VTC,"$48,440,869",$1.08,"44,672,725","$550,851",-0.11%,-4.49%,-28.27%,Add to Watchlist
169,Metal,MTL,"$48,377,060",$1.93,"25,129,243","$2,185,930",-0.36%,-1.75%,-28.21%,Add to Watchlist
170,POA Network,POA,"$48,317,904",$0.235566,"205,114,083","$1,602,940",-0.72%,-0.65%,-31.22%,Add to Watchlist
171,DigitalNote,XDN,"$48,244,678",$0.006985,"6,906,847,847","$1,531,520",0.48%,-1.45%,-23.76%,Add to Watchlist
172,SmartMesh,SMT,"$47,591,924",$0.033664,"1,413,716,694","$507,118",-0.43%,-1.43%,-30.86%,Add to Watchlist
173,Crypterium,CRPT,"$47,537,546",$0.601691,"79,006,577","$2,612,430",-0.85%,0.55%,-24.56%,Add to Watchlist
174,Pillar,PLR,"$47,463,574",$0.183011,"259,348,201","$108,265",-0.12%,10.04%,-21.52%,Add to Watchlist
175,Particl,PART,"$47,357,758",$5.26,"9,008,857","$2,662,480",0.11%,-2.57%,-32.54%,Add to Watchlist
176,QuarkChain,QKC,"$46,740,275",$0.130767,"357,431,729","$6,230,430",-6.28%,-10.13%,-12.45%,Add to Watchlist
177,Credits,CS,"$46,510,723",$0.337167,"137,945,656","$1,651,390",-0.64%,-1.28%,-27.80%,Add to Watchlist
178,THEKEY,TKY,"$46,366,756",$0.010069,"4,604,993,287","$393,990",0.44%,-8.08%,-31.27%,Add to Watchlist
179,CRYPTO20,C20,"$45,899,887",$1.16,"39,695,826","$2,523,620",-0.55%,-2.36%,-16.05%,Add to Watchlist
180,BOScoin,BOS,"$45,812,005",$0.102813,"445,585,721","$85,753",2.64%,0.87%,-24.56%,Add to Watchlist
181,Streamr DATAcoin,DATA,"$45,506,679",$0.067203,"677,154,514","$982,557",-0.53%,-3.23%,-33.34%,Add to Watchlist
182,SophiaTX,SPHTX,"$44,978,963",$0.234120,"192,119,267","$466,583",-2.31%,-0.95%,-29.01%,Add to Watchlist
183,Raiden Networ...,RDN,"$44,816,513",$0.893312,"50,168,936","$1,388,300",-1.08%,-10.09%,-24.14%,Add to Watchlist
184,Delphy,DPY,"$44,547,026",$1.08,"41,331,057","$2,041,190",-0.58%,-15.44%,-44.62%,Add to Watchlist
185,Ambrosus,AMB,"$44,421,529",$0.307222,"144,590,975","$361,243",-0.58%,-1.77%,-23.77%,Add to Watchlist
186,SIRIN LABS Token,SRN,"$44,177,793",$0.192699,"229,258,029","$2,402,420",0.10%,-3.06%,-34.77%,Add to Watchlist
187,ODEM,ODE,"$42,349,279",$0.238611,"177,482,511","$8,419",-0.02%,9.54%,31.86%,Add to Watchlist
188,BLOCKv,VEE,"$42,041,208",$0.021352,"1,968,986,470","$1,901,490",-0.03%,-7.97%,-29.60%,Add to Watchlist
189,Dai,DAI,"$41,952,283",$0.985022,"42,590,199","$990,760",-0.29%,-0.99%,-1.72%,Add to Watchlist
190,TokenPay,TPAY,"$41,946,571",$2.72,"15,406,863","$399,843",0.05%,-3.60%,-21.00%,Add to Watchlist
191,Republic Prot...,REN,"$41,806,129",$0.080113,"521,841,473","$3,103,040",-0.07%,-3.11%,-17.97%,Add to Watchlist
192,ZClassic,ZCL,"$41,725,859",$9.96,"4,190,050","$235,726",-0.37%,-3.19%,-17.46%,Add to Watchlist
193,Peercoin,PPC,"$41,219,221",$1.66,"24,810,977","$598,522",-0.11%,1.53%,-14.14%,Add to Watchlist
194,Po.et,POE,"$40,892,635",$0.017802,"2,297,132,548","$410,155",-0.09%,-3.88%,-33.55%,Add to Watchlist
195,Genesis Vision,GVT,"$40,425,510",$10.85,"3,726,781","$2,748,380",-1.03%,-6.11%,-29.04%,Add to Watchlist
196,Bread,BRD,"$40,277,108",$0.455505,"88,422,978","$2,025,850",0.86%,2.56%,-13.04%,Add to Watchlist
197,OriginTrail,TRAC,"$39,870,859",$0.148631,"268,253,992","$270,972",-0.36%,2.93%,-26.19%,Add to Watchlist
198,IoT Chain,ITC,"$39,751,141",$0.660280,"60,203,460","$5,344,730",-1.38%,6.81%,-30.29%,Add to Watchlist
199,Trade Token,TIO,"$39,545,020",$0.439773,"89,921,436","$2,418,170",-0.17%,-3.07%,-13.44%,Add to Watchlist
200,Eximchain,EXC,"$39,317,934",$0.584163,"67,306,444","$145,890",0.55%,-1.19%,-23.84%,Add to Watchlist
201,IoTeX,IOTX,"$39,013,755",$0.034191,"1,141,040,005","$11,330,800",-0.45%,-6.11%,-17.16%,Add to Watchlist
202,EDUCare,EKT,"$38,856,300",$0.111018,"350,000,000","$10,591,900",-2.46%,-4.84%,-16.89%,Add to Watchlist
203,NavCoin,NAV,"$38,850,823",$0.617046,"62,962,604","$2,285,790",-0.37%,-3.92%,-31.97%,Add to Watchlist
204,Ubiq,UBQ,"$38,712,405",$0.938309,"41,257,629","$22,140",0.36%,-4.54%,-28.91%,Add to Watchlist
205,Stakenet,XSN,"$38,270,521",$0.563529,"67,912,247","$117,487",-0.64%,-6.32%,-20.30%,Add to Watchlist
206,Cube,AUTO,"$37,637,278",$0.005998,"6,274,940,000","$1,402,920",-1.11%,0.50%,-23.29%,Add to Watchlist
207,Burst,BURST,"$37,435,080",$0.019157,"1,954,160,947","$134,303",-0.63%,2.43%,-28.10%,Add to Watchlist
208,Jibrel Network,JNT,"$36,523,840",$0.228274,"160,000,000","$239,311",-0.83%,-4.62%,-30.76%,Add to Watchlist
209,Ink,INK,"$36,404,822",$0.078474,"463,910,527","$5,432,520",0.09%,-4.71%,-29.45%,Add to Watchlist
