coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
steem,N/A,N/A,N/A,N/A,12,other,4,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,28820,-0.1,0.0,0.0,0.0,-0.028,2.179,0.01,0.001
verge,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,707,0.07,0.11,1.68,1.68,-0.289,-0.75,0.028,0.003
golem,13 Nov 2016,13 Nov 2016,0.0,563.0,5,saas,15,8000000.0,N/A,1.0,0.01,97,0,137892,N/A,N/A,56.708,33778300,0.01,0.1,0.2,0.2,0.574,2.318,0.012,0.01
nano,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,7,0,N/A,N/A,N/A,0.0,23600,0.08,0.19,3.03,3.12,-0.29,-4.352,0.026,-0.026
siacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,300,0,N/A,N/A,N/A,0.0,25580,0.05,0.04,0.66,0.73,0.087,-1.0,0.012,-0.02
bitshares,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,19494,-0.2,0.16,2.46,2.54,-0.027,-1.307,0.005,-0.019
rchain,N/A,N/A,N/A,N/A,1,blockchain,6,N/A,15000000.0,N/A,2.4,2416,0,9907,N/A,N/A,-0.916,22131,0.01,0.19,3.01,3.08,-0.068,-2.0,0.017,-0.01
wanchain,01 Oct 2017,01 Nov 2017,31.0,210.0,3,blockchain,17,35990000.0,36000000.0,1.0,0.34,47457,0,N/A,N/A,N/A,11.382,189439000,0.18,0.06,0.96,1.08,-0.582,-5.352,0.003,-0.021
populous,24 Jul 2017,24 Jul 2017,0.0,310.0,4,fintech,5,10220400.0,991001144.0,0.01,0.25,N/A,0,22840,N/A,N/A,12.32,2704070,0.2,0.11,1.69,1.75,-0.059,-4.943,0.012,-0.023
maker,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,13325,0.23,0.15,2.34,2.35,-0.036,0.023,0.061,-0.009
bitcoin private,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bitcoin diamond,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
stratis,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,48504,0.2,0.16,2.54,2.62,-0.007,-1.591,0.014,-0.013
waves,N/A,N/A,N/A,N/A,12,other,1,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,83734,-0.28,-0.15,-2.34,-2.27,-0.008,-2.898,0.005,-0.017
augur,17 Aug 2015,1 Oct 2015,45.0,972.0,1,saas,13,5000000.0,N/A,0.8,0.6,N/A,0,433,N/A,N/A,1.45,728,0.09,0.14,2.18,2.34,0.027,-0.636,0.009,0.001
dogecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,48,0,N/A,N/A,N/A,0.0,0.0,0.11,0.16,2.54,2.57,-0.236,-1.966,0.005,-0.014
waykichain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,2845660,-0.26,-0.09,-1.47,-1.36,-0.229,-0.977,0.01,0.006
iost,N/A,N/A,N/A,N/A,12,blockchain,N/A,31255000.0,31300000.0,1.0,0.01,40601,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
waltonchain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,10689000,0.2,0.21,3.3,3.34,-0.042,-3.92,0.02,-0.013
status,20 Jun 2017,20 Jun 2017,0.0,344.0,6,saas,12,10000000.0,N/A,N/A,0.04,N/A,0,100920,N/A,N/A,0.404,13747700,-0.21,0.04,0.66,0.72,0.159,-0.511,0.008,-0.015
mixin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,4,0,N/A,N/A,N/A,0.0,824201,-0.05,-0.19,-3.08,-2.97,-0.095,-4.659,-0.002,-0.015
digibyte,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,27811,-0.81,-0.11,-1.79,-1.73,-0.083,-2.636,0.009,-0.009
hshare,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,6789300,0.07,0.05,0.8,0.85,0.044,-1.614,0.005,-0.013
aion,24 Nov 2017,24 Dec 2017,30.0,157.0,12,blockchain,N/A,N/A,N/A,N/A,1.0,11240,0,N/A,N/A,N/A,-0.374,20958,0.12,0.22,3.46,3.5,-0.134,-5.057,0.018,-0.022
nebulas,8 Dec 2017,16 Dec 2017,8.0,165.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,12045,0,22348,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
loopring,1 Aug 2017,16 Aug 2017,15.0,287.0,3,saas,3,45000000.0,N/A,1.0,0.06,N/A,0,27534,N/A,N/A,0.747,200829,-0.05,0.12,1.93,1.99,-0.143,-0.17,0.014,-0.02
cybermiles,21 Nov 2017,21 Dec 2017,30.0,160.0,1,saas,9,30881582.0,30900000.0,1.0,0.0524,70113,0,235086,N/A,N/A,2.447,12580000,-0.09,0.01,0.22,0.28,-0.015,-4.5,0.007,0.015
basic attenti...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
komodo,15 Oct 2016,16 Nov 2016,32.0,560.0,12,saas,N/A,1983781.0,N/A,N/A,0.38,N/A,0,88576,N/A,N/A,-0.708,22487,0.02,0.12,1.88,1.89,-0.003,-2.852,0.022,-0.016
digixdao,29 Mar 2016,30 Mar 2016,1.0,791.0,7,saas,N/A,55000004.0,N/A,N/A,4.2,N/A,0,15071,N/A,N/A,6.543,1900,-0.05,-0.01,-0.14,-0.07,0.031,-1.966,0.006,-0.024
ardor,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,36,-0.22,-0.16,-2.56,-2.44,0.584,-1.102,0.005,-0.013
aelf,N/A,N/A,N/A,N/A,12,blockchain,N/A,24750000.0,24800000.0,1.0,0.099,74740,0,N/A,N/A,N/A,10.313,83836700,0.26,0.09,1.39,1.46,-0.16,-0.295,0.005,-0.019
ark,05 Nov 2016,09 Dec 2016,34.0,537.0,12,blockchain,N/A,22000000.0,N/A,N/A,0.1,43,0,N/A,N/A,N/A,-0.657,133793,0.32,0.26,4.19,4.25,-0.166,-2.125,0.017,-0.014
pivx,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,641,0.4,0.16,2.49,2.53,-0.232,-2.83,0.019,-0.015
dentacoin,1 Oct 2017,1 Nov 2017,31.0,210.0,5,insurance services,19,1923507.0,28800000.0,0.07,0.0,1454,0,110,N/A,N/A,0.0,228296,0.04,0.06,0.94,0.98,-0.189,-1.091,0.025,-0.003
polymath,N/A,N/A,N/A,N/A,12,saas,28,N/A,N/A,N/A,0.4,46245,0,25320,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
loom network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gxchain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,19932900,-0.42,0.01,0.13,0.21,0.097,-3.034,0.004,-0.006
monacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,557,-0.05,-0.06,-0.89,-0.8,0.001,-1.682,0.007,-0.015
elastos,01 Jan 2018,22 Jan 2018,21.0,128.0,3,blockchain,N/A,94073200.0,94100000.0,1.0,18.09,17111,0,N/A,N/A,N/A,1.259,33745700,0.19,-0.02,-0.34,-0.24,-0.438,1.739,0.003,-0.003
bancor,12 Jun 2017,12 Jun 2017,0.0,352.0,12,saas,6,15300000.0,N/A,N/A,3.92,6573,0,810,N/A,N/A,4.097,16871,-0.16,-0.07,-1.04,-0.97,-0.003,-1.341,0.001,-0.005
maidsafecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,21809,-0.01,0.05,0.76,0.87,-0.091,-2.193,0.005,0.004
cryptonex,01 Sep 2017,30 Sep 2017,29.0,242.0,12,other,N/A,N/A,N/A,N/A,N/A,2341,0,N/A,N/A,N/A,0.0,79554,-0.03,0.12,1.88,1.95,-0.224,-0.5,0.009,-0.01
gas,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,121304,0.2,0.2,3.12,3.17,0.027,-0.489,0.016,-0.015
cortex,N/A,N/A,N/A,N/A,12,other,N/A,34870400.0,34900000.0,1.0,0.58,64870,0,N/A,N/A,N/A,0.449,28409300,0.37,2.92,5.85,5.93,-0.074,-1.261,0.016,-0.013
huobi token,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
mithril,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,8672250,0.4,0.22,3.47,3.51,-1.788,-2.511,0.061,-0.02
syscoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,523,0,N/A,N/A,N/A,0.0,84067,-0.16,-0.19,-3.02,-2.93,-0.055,-1.784,0.011,-0.014
theta token,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
skycoin,N/A,N/A,N/A,N/A,12,saas,6,N/A,N/A,N/A,N/A,9866,0,11842,N/A,N/A,0.0,3733,0.33,0.21,3.32,3.37,-0.061,-5.511,0.017,0.005
reddcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,6515,0,N/A,N/A,N/A,0.0,7925,0.2,0.04,0.64,0.69,0.051,-1.83,0.016,-0.01
fusion,1 Feb 2018,10 Feb 2018,9.0,109.0,7,fintech,20,42185216.0,42200000.0,1.0,2.06,10418,0,7564,N/A,N/A,0.592,1440790,-0.04,0.12,1.87,1.98,-0.209,-4.205,0.011,-0.001
qash,N/A,N/A,N/A,N/A,7,fintech,60,106400000.0,106400000.0,1.0,0.24,18209,0,N/A,N/A,N/A,1.098,9608310,0.14,0.18,2.89,2.95,0.102,-2.489,0.006,-0.02
veritaseum,25 Apr 2017,26 May 2017,31.0,369.0,1,blockchain,2,6480882.0,N/A,N/A,12.0,1782,0,23232,N/A,N/A,3.047,450758,0.22,0.13,2.02,2.02,-262.331,-1.83,194.18,-0.005
ethos,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,2,0,N/A,N/A,N/A,0.0,61497,0.28,0.25,3.99,4.03,0.013,-3.716,0.021,-0.016
kyber network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
funfair,N/A,N/A,N/A,N/A,4,other,35,20000000.0,20000000.0,1.0,0.007,4998,0,36268,N/A,N/A,0.996,8783,0.17,0.13,2.05,2.07,-0.27,-0.682,0.018,-0.01
electroneum,14 Sep 2017,20 Oct 2017,36.0,222.0,4,blockchain,15,39934610.0,40000000.0,1.0,0.01,49257,0,123654,N/A,N/A,6.736,2464330,-0.13,0.08,1.26,1.31,0.093,-2.591,0.002,-0.003
nuls,N/A,N/A,N/A,N/A,3,blockchain,10,N/A,N/A,N/A,4.01471,6611,0,18652,N/A,N/A,-0.975,26708,0.32,0.22,3.55,3.58,-0.172,1.455,0.032,0.004
substratum,14 Aug 2017,14 Sep 2017,31.0,258.0,1,blockchain,6,13800000.0,45000000.0,0.31,0.07,12646,0,1160,N/A,N/A,-0.333,41819,0.29,0.28,4.47,4.54,-0.246,-4.375,0.017,-0.026
dragonchain,2 Oct 2017,2 Nov 2017,31.0,209.0,1,saas,8,13700000.0,16689535.8,0.82,0.07,N/A,0,73642,N/A,N/A,2.853,1142060,0.37,0.26,4.08,4.14,0.109,-3.568,0.013,-0.022
centrality,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,165758,-0.05,0.02,0.34,0.43,-0.339,-1.898,-0.004,-0.022
all sports,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kin,12 Sep 2017,26 Sep 2017,14.0,246.0,1,saas,7,48594816.0,75000000.0,0.65,0.0,N/A,0,24540,N/A,N/A,0.0,372049,-0.08,-0.01,-0.17,-0.07,-0.145,-2.261,0.012,-0.003
mybit token,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
zcoin,N/A,N/A,N/A,N/A,1,other,5,N/A,N/A,N/A,N/A,1211,0,N/A,N/A,N/A,0.0,1290,0.42,0.13,2.03,2.06,-0.073,-0.432,0.018,-0.013
enigma,N/A,N/A,N/A,N/A,1,fintech,5,45000000.0,45000000.0,1.0,0.6,14732,0,N/A,N/A,N/A,-0.983,4088,0.0,0.2,3.2,3.21,0.131,-1.58,0.082,-0.012
nexus,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,7268,-0.12,0.03,0.49,0.54,-0.034,-6.443,0.015,-0.003
factom,N/A,N/A,N/A,N/A,1,other,4,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,29947,-0.05,-0.06,-0.92,-0.83,-0.079,-0.057,0.01,-0.017
holo,29 Mar 2018,28 Apr 2018,30.0,32.0,7,telecommunications,8,20388500.0,20400000.0,1.0,0.0002,8018,0,4698,N/A,N/A,2.84,5764530,0.26,2.05,4.1,4.17,0.67,2.33,0.023,0.02
iexec rlc,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
storm,07 Nov 2017,08 Dec 2017,31.0,173.0,1,fintech,14,30716420.0,27600000.0,1.0,0.0113,9936,0,26588,N/A,N/A,0.43,330757,0.68,0.15,2.39,2.45,-0.238,-2.295,0.018,-0.024
nxt,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,22,0,N/A,N/A,N/A,0.0,0.0,0.28,0.2,3.14,3.17,-0.041,-0.841,0.006,-0.015
bnktothefuture,05 Feb 2018,15 Feb 2018,10.0,104.0,12,fintech,N/A,33000000.0,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,-0.22,40890,0.31,0.2,3.11,3.21,0.011,0.602,0.019,-0.007
blocknet,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4234,-0.24,-0.1,-1.61,-1.48,0.141,2.0,0.014,0.01
matrix ai net...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gifto,14 Dec 2017,14 Dec 2017,0.0,167.0,3,entertainment,13,10000000.0,10000000.0,1.0,0.1,56530,0,16483,N/A,N/A,2.489,44959800,0.32,0.12,1.93,1.98,-0.07,-4.341,0.007,-0.025
power ledger,8 Sep 2017,6 Oct 2017,28.0,236.0,9,energy,17,13232290.0,N/A,N/A,0.09,16630,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
zencash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,5510,0,N/A,N/A,N/A,0.0,3196,-0.01,-0.04,-0.65,-0.58,-0.187,-2.602,0.011,-0.008
civic,21 Jun 2017,22 Jun 2017,1.0,342.0,1,saas,2,33000000.0,33000000.0,1.0,0.1,8903,0,86336,N/A,N/A,0.767,9750800,0.18,0.14,2.26,2.33,-0.245,-1.5,0.009,-0.005
dropil,7 Feb 2018,7 Mar 2018,28.0,84.0,1,fintech,6,60000000.0,31679999.999999996,1.0,0.00317,718,0,6708,N/A,N/A,0.985,78904,-0.05,0.06,0.99,1.1,0.021,0.932,0.005,0.003
chainlink,N/A,N/A,N/A,N/A,1,blockchain,N/A,32000000.0,32000000.0,1.0,0.11,287,0,N/A,N/A,N/A,0.72,2718640,0.36,0.06,0.95,1.04,-0.086,-1.523,0.01,-0.016
true chain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wax,N/A,N/A,N/A,N/A,12,gaming,N/A,9600000.0,9600000.0,1.0,0.32,16203,0,N/A,N/A,N/A,13.406,11963300,0.09,-0.03,-0.43,-0.39,-0.142,-3.159,-0.005,-0.02
salt,01 Aug 2017,15 Aug 2017,14.0,288.0,12,fintech,N/A,48500000.0,48500000.0,1.0,0.89,783,0,N/A,N/A,N/A,3.876,4174650,-0.17,0.0,0.08,0.16,-0.08,-3.636,0.0,-0.024
bibox token,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
nexo,17 Mar 2018,15 Apr 2018,29.0,45.0,6,fintech,18,52500000.0,52500000.0,1.0,0.1,64443,0,N/A,N/A,N/A,0.85,3226150,0.04,0.34,0.68,0.76,-0.704,0.941,0.003,0.008
byteball bytes,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
achain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,12676,0,N/A,N/A,N/A,0.0,4030040,-0.07,0.08,1.28,1.33,0.01,0.312,0.01,-0.016
decentraland,8 Aug 2017,8 Aug 2017,0.0,295.0,10,entertainment,13,24137000.0,20000000.0,1.0,0.02,N/A,0,3,N/A,N/A,0.237,688849,-0.21,-0.01,-0.19,-0.12,-0.119,-1.582,0.015,-0.022
storiqa,28 Nov 2017,29 Jan 2018,62.0,121.0,3,saas,11,25000000.0,25000000.0,1.0,0.0,30971,0,10892,N/A,N/A,0.0,271889,-0.09,0.11,1.8,1.91,-0.021,11.565,0.025,0.077
quantstamp,17 Nov 2017,16 Dec 2017,29.0,165.0,1,fintech,10,31320000.0,31300000.0,1.0,0.07,24208,0,N/A,N/A,N/A,0.304,28481900,0.18,0.23,3.59,3.64,-0.322,-1.518,0.013,-0.006
neblio,6 Aug 2017,20 Aug 2017,14.0,283.0,1,fintech,2,14834923.0,N/A,0.07,0.2,N/A,0,N/A,N/A,N/A,2.146,257746,0.2,0.24,3.77,3.83,-0.11,0.465,0.022,-0.021
high performa...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
monaco,18 May 2017,18 Jun 2017,31.0,346.0,6,fintech,4,26700000.0,N/A,0.1,2.88,7313,0,64506,N/A,N/A,-0.142,1549870,-0.1,0.2,3.1,3.14,0.048,-1.829,0.014,-0.02
