['litecoin-cash', '2 Apr 2018', '1 Jul 2018', 90.0, 284.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '02 Apr 2018', '01 Jul 2018', 90.0, 284.0, 'uk&nofilter', 'N/A', 'N/A', 'uk', 'N/A', 'N/A', 'N/A', 1, 'N/A', 'N/A', 'N/A', 3, 4, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 1.6, 'N/A', 'N/A', 'N/A', 'N/A', 1179, 'N/A', 'N/A', 0, 'N/A', 3.45, 301.0, 'N/A', 'N/A', 'N/A', 4.71, 1828460, -0.119, -0.065, -1.033, -1.043, -0.412, -3.952, -0.006, -0.007]
['mir-coin', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '09 Apr 2018', '27 May 2018', 48.0, 319.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'blockchaininfrastructure', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 480000000.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0.8, 'N/A', 'N/A', 1179, 'N/A', 2767, 0, 'N/A', 'N/A', 'N/A', 'Low', 'N/A', 'N/A', 0.05, 447437, 0.146, 0.097, 1.542, 1.527, 0.287, 2.725, 0.001, 0.001]
['fintrux-network', 'N/A', 'N/A', 'N/A', 'N/A', '07 Feb 2018', '28 Feb 2018', 21.0, 407.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'singapore', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 6, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 1179, 'N/A', 'N/A', 0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0.308, 102017, -0.054, -0.279, -4.427, -4.459, -0.1, -0.838, -0.001, -0.001]
['linkeye', '10 Nov 2017', '31 Jan 2018', 82.0, 435.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '10 Nov 2017', '31 Jan 2018', 82.0, 435.0, 'singapore&nofilter', 'N/A', 'N/A', 'singapore', 'N/A', 'N/A', 'N/A', 3, 'N/A', 'N/A', 'N/A', 6, 'N/A', 1600000.0, 'N/A', 'N/A', 'N/A', 17777777.8, 'N/A', 'N/A', 'N/A', 'N/A', 0.09, 'N/A', 'N/A', 0.0427, 'N/A', 'N/A', 0.160758, 'N/A', 1179, 'N/A', 'N/A', 0, 5086, 3.45, 301.0, 'N/A', 'N/A', 'N/A', 0.167, 10037600, -0.25, -0.202, -3.213, -3.247, -0.1, -0.686, -0.003, -0.003]
['nos', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '29 Oct 2018', '08 Nov 2018', 10.0, 154.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'blockchain service', 'blockchaininfrastructure', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 9, 'N/A', 9200000.0, 8786133.0, 'N/A', 'N/A', 16800000.0, 10000000.0, 'N/A', 'N/A', 'N/A', 0.55, 0.88, 'N/A', 0.1, 0.1, 'N/A', 'N/A', 1179, 7551, 95, 0, 'N/A', 'N/A', 'N/A', 'High', 'Low', 'N/A', 0.04, 271763, 0.17, 0.037, 0.591, 0.562, -0.238, -2.199, 0.006, 0.006]
['divi', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '25 Oct 2017', '21 Nov 2017', 27.0, 506.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'masternode', 'blockchaininfrastructure', 'N/A', 'N/A', 'N/A', 15, 'N/A', 'N/A', 'N/A', 2600000.0, 2592000.0, 'N/A', 'N/A', 2000000.0, 'N/A', 'N/A', 'N/A', 'N/A', 1.3, 'N/A', 'N/A', 0.62, 0.62, 'N/A', 'N/A', 1179, 1187, 2485, 0, 8119, 1.8, 165.0, 'High', 'Low', 'N/A', 0.008, 11780, 0.106, -0.095, -1.515, -1.541, -0.038, -0.087, 0.003, 0.003]
['skrumble-network', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '05 May 2018', '07 May 2018', 2.0, 339.0, '05 May 2018', '05 May 2018', 0.0, 341.0, 'canada&nofilter', 'N/A', 'N/A', 'toronto,canada', 'N/A', 'social network', 'computing&datastorage', 31, 'N/A', 'N/A', 'N/A', 25, 3, 'N/A', 16500000.0, 16472800.0, 16472800.0, 'N/A', 16500000.0, 15048000.0, 'N/A', 3293600.0, 'N/A', 1.0, 1.09, 'N/A', 0.05148, 0.05, 0.0515, 'N/A', 1179, 597, 21727, 0, 'N/A', 3.45, 301.0, 'Medium', 'Low', 'N/A', 0.096, 32789700, -0.173, -0.268, -4.257, -4.294, -0.167, -1.086, -0.006, -0.006]
['graft', '18 Jan 2018', '18 Feb 2018', 31.0, 417.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'usa&nofilter', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 16, 'N/A', 'N/A', 'N/A', 'N/A', 4, 3000000.0, 'N/A', 'N/A', 'N/A', 25000000.0, 'N/A', 'N/A', 'N/A', 10870000.0, 0.12, 'N/A', 'N/A', 0.28, 'N/A', 'N/A', 'N/A', 'N/A', 1179, 'N/A', 'N/A', 0, 3975, 3.45, 301.0, 'N/A', 'N/A', 'N/A', 0.043, 40067, -0.305, -0.006, -0.101, -0.126, 0.004, 0.244, -0.001, -0.001]
['wibson', 'N/A', 'N/A', 'N/A', 'N/A', '16 Feb 2018', '10 Aug 2018', 175.0, 244.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'gibraltar', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 19, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 1179, 'N/A', 'N/A', 0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0.002, 55850, -0.378, -0.043, -0.688, -0.714, -0.293, -3.281, 0.007, 0.007]
['ice-rock-mining', '20 Mar 2018', '25 May 2018', 66.0, 321.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '20 Mar 2018', '25 May 2018', 66.0, 321.0, 'ireland&nofilter', 'N/A', 'N/A', 'ireland', 'N/A', 'N/A', 'N/A', 15, 'N/A', 'N/A', 'N/A', 14, 18, 'N/A', 'N/A', 'N/A', 6061241.0, 4310000.0, 'N/A', 'N/A', 4310000.0, 'N/A', 'N/A', 'N/A', 'N/A', 1.2, 'N/A', 'N/A', 0.3, 'N/A', 1179, 'N/A', 'N/A', 0, 2841, 3.45, 301.0, 'N/A', 'N/A', 'N/A', 0.29, 6038, -0.012, 0.086, 1.358, 1.33, -0.147, -2.553, 0.049, 0.049]
