name,age,price,hardcap,social,daily_views,daily_time,success
datecoin,177.0,0.141,20000000.0,78023,2.0,180.0,1
finom,328.0,2.0,100844320.0,1251,1.3,88.0,0
remme,274.0,0.04,20000000.0,11873,1.8,109.0,1
aidcoin,295.0,0.515,18632900.0,4061,1.0,135.0,1
bitclave,359.0,0.1,25547000.0,7808,1.9,108.0,1
paygine,98.0,1.0,32848220.0,1043,1.0,124.0,0
egretia,181.0,0.0083,24019050.0,10069,1.0,172.0,0
bubbletone,161.0,0.17,25294118.0,50786,1.0,83.0,0
truegame,207.0,0.0736,6860000.0,24537,2.0,156.0,1
havven,261.0,0.5,30000000.0,3558,1.7,118.0,1
play2live,254.0,0.05,30000000.0,17218,1.8,123.0,1
wepower,294.0,0.125,40000000.0,34406,2.1,127.0,1
neuromation,281.0,0.915,71600000.0,17166,2.0,147.0,1
appcoins,338.0,0.1,15300000.0,2360,1.2,105.0,1
blockv,394.0,0.42,39998333.0,2930,2.4,98.0,1
blackmoon,407.0,1.1,30000000.0,6457,1.2,118.0,1
ambit,166.0,0.5,40000000.0,4450,2.1,182.0,0
bankex,300.0,1.48,103823529.0,5660,1.5,118.0,1
dreamteam,188.0,0.418,21054240.0,310,3.13,260.0,0
saifu,207.0,0.94,48547939.0,21209,1.5,138.0,0
indahash,338.0,0.24,66743477.0,9117,2.3,188.0,1
dmarket,357.0,0.63,52852133.0,1187,1.4,98.0,0
coti,84.0,0.1,30010280.0,25572,2.4,208.0,0
pavocoin,38.0,0.1,7968421.0,45293,1.2,73.0,1
mydfs,7.0,1.0,20000000.0,13478,1.5,90.0,0
cryptyk,23.0,0.13,28132480.0,16122,1.0,95.0,0
iagon,49.0,0.12,52279840.0,19985,1.9,125.0,0
ftec,128.0,0.0154,12437500.0,31881,2.0,61.0,0
airbloc,147.0,0.041,10427400.0,2060,1.9,115.0,1
friend,28.0,0.067,50330000.0,57290,1.6,180.0,0
fantom,160.0,0.04,39653398.0,32813,2.0,149.0,1
profede,69.0,0.01,19832692.0,246,1.2,121.0,1
edenchain,182.0,0.06,24000000.0,20133,2.7,145.0,1
tradingene,145.0,1.0,11901383.0,6331,1.0,167.0,0
moneytoken,169.0,0.005,41579770.0,27542,4.2,250.0,1
grain,200.0,0.0137,14872655.0,6110,2.0,76.0,1
ceek,203.0,0.5,49555929.0,43678,1.3,132.0,0
auctus,217.0,0.283,3770005.0,6892,2.7,228.0,1
omnitude,172.0,0.46,15686275.0,1164,3.9,308.0,1
cryptelo,207.0,0.0489,8089200.0,4960,2.0,141.0,0
skyfchain,100.0,0.065,29523810.0,36601,1.7,98.0,0
adhive,254.0,0.1369,12000000.0,11384,2.0,143.0,1
coinmetro,237.0,0.1392,42329514.0,16128,2.1,141.0,0
faceter,238.0,0.0279,40871933.0,1327,2.0,139.0,1
covesting,312.0,2.56,33241750.0,7508,2.0,163.0,1
gladius,327.0,1.55,12500000.0,28197,3.0,128.0,1
tokenbox,360.0,1.0,20000000.0,2150,2.3,142.0,0
utrust,368.0,0.065,21000000.0,4500,4.0,225.0,1
playkey,357.0,1.76,105123610.0,7843,1.0,84.0,0
universa,361.0,0.01,98480114.0,12874,2.8,202.0,0
privatix,372.0,3.3032,14949619.0,1766,1.6,85.0,0
miniapps,339.0,8.0,12522350.0,1598,3.0,128.0,0
bitboost,384.0,0.46,14000001.0,1017,2.0,193.0,1
kickico,433.0,0.0848,21581925.0,5636,3.0,219.0,1
