coin,bloxverse_yr,bloxverse_sa,bloxverse_qr,icorating_hype,icorating_risk,icobazaar,icomarks,icobench,success,return_day1,volume_day1,sharpe_annual
ambit,0.68,0.7,0.2,0.7,0.5,N/A,0.8,N/A,0.1,-1.0,0.0,-100.0
bankex,0.84,0.8,0.76,0.7,0.3,0.82,N/A,N/A,0.68,0.919,371912.0,-3.541
dreamteam,0.66,0.54,0.2,N/A,N/A,0.86,0.88,N/A,0.48,-1.0,0.0,-100.0
saifu,0.84,0.78,0.62,0.5,0.5,N/A,0.86,N/A,0.28,-0.935,147659.0,1.276
mydfs,0.84,0.74,0.18,0.7,0.5,N/A,0.93,N/A,0.15,-1.0,0.0,-100.0
cryptyk,0.8,0.78,0.22,0.5,0.5,N/A,0.71,N/A,0.25,-1.0,0.0,-100.0
iagon,0.8,0.78,0.34,0.7,0.3,N/A,0.94,N/A,0.05,-1.0,0.0,-100.0
ftec,0.88,0.82,0.24,0.7,0.3,0.84,0.93,N/A,0.08,-1.0,0.0,-100.0
fantom,0.68,0.64,0.48,N/A,N/A,N/A,N/A,N/A,1.0,-1.0,0.0,-100.0
profede,0.76,0.64,0.44,0.5,0.5,N/A,0.9,N/A,0.52,-1.0,0.0,-100.0
edenchain,0.8,0.78,0.78,N/A,N/A,N/A,N/A,N/A,1.0,-1.0,0.0,-100.0
tradingene,0.9,0.86,0.58,0.5,0.5,N/A,0.75,N/A,0.12,-1.0,0.0,-100.0
moneytoken,0.76,0.66,0.44,N/A,N/A,N/A,N/A,N/A,0.87,-0.429,282008.0,-3.427
grain,0.94,0.76,0.4,0.5,0.5,N/A,N/A,N/A,0.76,-0.991,2249.0,0.16
ceek,0.8,0.68,0.32,0.5,0.5,N/A,N/A,N/A,0.35,-1.0,0.0,-100.0
auctus,0.9,0.78,0.56,0.7,0.3,N/A,N/A,N/A,1.0,-1.0,0.0,-100.0
omnitude,0.8,0.84,0.48,0.9,0.3,N/A,N/A,N/A,0.51,-0.784,252012.0,-0.869
skyfchain,0.82,0.76,0.52,0.5,0.5,0.88,0.88,N/A,0.21,-1.0,0.0,-100.0
adhive,0.92,0.7,0.82,0.7,0.3,0.88,N/A,N/A,1.0,-0.596,772548.0,0.438
coinmetro,0.76,0.62,0.7,0.7,0.5,N/A,0.77,0.64,0.35,-1.0,0.0,-100.0
faceter,0.74,0.7,0.84,0.5,0.3,N/A,N/A,N/A,0.7,-1.0,0.0,-100.0
covesting,0.94,0.76,0.9,0.7,0.3,0.92,N/A,0.66,1.0,0.207,328108.0,-1.981
peculium,0.88,0.84,0.46,0.5,0.5,N/A,N/A,N/A,1.0,-0.583,69616.0,0.775
wono,0.8,0.74,0.7,0.7,0.5,N/A,0.9,0.62,0.05,-1.0,0.0,-100.0
usechain,0.94,0.86,0.6,N/A,N/A,N/A,N/A,N/A,1.0,-1.0,0.0,-100.0
zeex,0.82,0.84,0.62,0.7,0.5,N/A,0.87,N/A,1.0,-1.0,0.0,-100.0
streamity,0.94,0.94,0.72,0.5,0.5,N/A,0.92,N/A,0.21,-1.0,0.0,-100.0
qurrex,0.94,0.88,0.42,0.5,0.5,N/A,0.78,N/A,0.14,-1.0,0.0,-100.0
shivom,0.74,0.68,0.36,0.7,0.5,N/A,N/A,N/A,1.0,-0.533,318348.0,-6.131
