ico_name,date,year,website,age_months,age_days,country,industry,hardcap,money_raised,pct_complete,sol_pct_complete,hardcap_reached,token_prx,followers,team_size,cum_years_experience,accredited_advisors,media_mentions,listing_prx,token_prx_1m,token_prx_3m,token_prx,log_rets_1m,log_rets_3m,log_rets
district0x Network,08/01/2017,17,https://district0x.io/,5,153,USA,Fintech,50000000,10102951,20.21,2021,0,0.017,4273,2,10,5,6,0.02,0.11,0.04,0.16,1.70,0.69,0.37
SunContract,08/01/2017,17,https://suncontract.org/,5,153,Slovenia,Energy,2250000,2000000,88.89,8889,0,0.016,3190,14,-1,2,7,0.02,0.04,0.03,0.25,0.69,0.41,1.83
FundYourselfNow,7/31/2017,17,https://www.fundyourselfnow.com/#,5,154,Singapore,Crowdfunding,25125000,1467300,5.84,584,0,2.01,5059,5,60,5,4,1.10,3.16,1.84,4.08,1.06,0.51,0.26
Cryptonomos,7/31/2017,17,https://cryptonomos.com/wtt/,5,154,USA,SaaS,30000000,15000000,50,5000,0,1.2,2026,7,100,0,5,2.08,2.08,1.67,1.55,0.00,-0.22,-0.29
RootProject*,7/28/2017,17,https://www.rootproject.co/,5.1,157,USA,Crowdfunding,50000000,246000,0.49,49,0,0.025,3972,5,-1,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TrueFlip,7/28/2017,17,https://ico.trueflip.io/,5.1,157,Costa Rica,Gambling,20000000,8244292,41.22,4122,0,1.36,666,2,10,4,15,1.31,1.40,0.87,1.81,0.07,-0.41,0.26
GeoFounders,7/26/2017,17,http://www.geofounders.com/ico/,5.2,159,USA,SaaS,2500000,40447,1.62,162,0,0.2,120,3,20,0,0,0.25,0.00,0.00,0.39,NaN,-4.83,NaN
Primalbase,7/26/2017,17,http://primalbase.com/,5.2,159,Netherlands,Real Estate,7600000,7600000,100,10000,1,7554.6,350,6,-1,3,8,5344.50,5344.50,4080.81,6824.33,0.00,-0.27,0.24
Dent,7/26/2017,17,https://www.dentcoin.com/,5.2,159,Hong Kong,Data Services,31000000,4384236,14.14,1414,0,0.005,6458,5,100,3,0,0.00,0.00,0.00,0.02,0.69,-0.18,2.81
Eros,7/23/2017,17,https://eros.vision/,5.3,162,Netherlands,Entertainment,10000000,4835093,48.35,4835,0,1,211,2,-1,0,1,0.00,0.00,0.00,0.00,NaN,NaN,NaN
SkinCoin,7/21/2017,17,https://skincoin.org/,5.3,164,Russia,Gaming,10000000,3292183,32.92,3292,0,0.04,707,6,35,0,14,0.04,0.03,0.01,0.02,-0.29,-1.05,-0.63
Gilgam,7/20/2017,17,https://ico.gilgam.es/ico,5.3,165,Malta,Gaming,45000000,230000,0.51,51,0,0.45,2838,6,-1,0,1,0.00,0.00,0.01,0.00,NaN,NaN,NaN
Pillar,7/17/2017,17,https://pillarproject.io/,5.4,168,Switzerland,Fintech,56000000,20000000,35.71,3571,0,0.1,1174,4,30,6,4,0.07,0.16,0.06,0.32,0.89,-0.10,0.69
Mothership,7/16/2017,17,https://mothership.cx/,5.5,169,Estonia,Fintech,8000000,5406897,67.59,6759,0,0.04,4249,2,20,3,1,0.04,0.17,0.10,0.28,1.45,0.92,0.50
Bitquence,7/16/2017,17,https://www.bitquence.com/,5.5,169,USA,Social Service,25482000,1680433,6.59,659,0,0.03,13235,10,100,0,4,0.06,0.84,0.84,3.04,2.64,2.64,1.29
PressOne,7/15/2017,17,https://ico.info/projects/1,,170,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
SONM,7/15/2017,17,https://sonm.io/,,170,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Orocrypt,7/14/2017,17,https://orocrypt.com/#,,171,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Fuck,7/13/2017,17,http://www.fucktoken.io/,,172,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Tezos,7/13/2017,17,https://www.tezos.com/,,172,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
InsureX,7/13/2017,17,https://insurex.co/,,172,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Nimiq,07/12/2017,17,https://nimiq.com/,,173,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
ATBcoin,07/12/2017,17,https://atbcoin.com/,,173,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
LeviarCoin,07/09/2017,17,https://leviarcoin.org/,,176,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
OnPlace,07/06/2017,17,http://investments.onplace.io/,,179,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Polybius,07/05/2017,17,https://polybius.io/,,180,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Santiment,07/05/2017,17,https://santiment.net,,180,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
OpenANX,07/04/2017,17,https://www.openanx.org/en/,,181,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Rialto,07/04/2017,17,https://www.rialto.ai/,,181,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
